분,신,종목명,현재가,시가,고가,저가,등락률,종목코드
경,,모베이스전자,"5,680","5,680","5,680","4,570","29.98",'012860
경,,뉴로메카,"71,900","57,000","73,100","55,700","27.71",'348340
,,유진로봇,"25,550","22,700","27,350","22,650","18.84",'056080
신,,이뮨온시아,"11,880","11,480","11,930","11,170","3.30",'424870
,,씨메스,"36,100","36,950","39,500","35,500","-0.69",'475400
신,,에브리봇,"23,000","23,100","25,400","22,700","-1.92",'270660
신,,한라캐스트,"19,010","20,050","20,350","18,900","-3.31",'125490
신,,SNT모티브,"36,200","37,200","37,900","36,100","-3.85",'064960
위,,계양전기,"11,380","11,890","12,470","11,180","-4.69",'012200
증,,케이엔알시스템,"29,450","31,800","32,450","29,100","-5.00",'199430
신,,한국피아이엠,"81,000","83,300","89,200","80,500","-5.26",'448900
신,,인탑스,"19,960","20,550","20,600","19,690","-5.40",'049070
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
