종목명,종목코드,거래대금(억),시가갭(%),당일고가(%),현재가,종가형태
현대차,005380,2345,-1.66,-1.33,293500,음봉
삼성전자,005930,21583,-3.31,-2.85,104800,음봉
SK하이닉스,000660,13750,-6.3,-1.31,554000,양봉
삼성전자우,005935,2224,-2.54,-2.06,81000,양봉
두산에너빌리티,034020,3318,-3.64,-2.63,77100,양봉
한화시스템,272210,3506,-0.56,9.98,52700,음봉
에코프로,086520,2655,-2.51,0.9,110200,양봉
현대건설,000720,3369,-9.36,-4.49,73100,양봉
이수페타시스,007660,2791,-4.15,0.0,130800,양봉
로보티즈,108490,3647,-2.64,6.94,313000,양봉
원익홀딩스,030530,8309,-2.95,26.19,37500,양봉
클로봇,466100,4729,-1.07,5.83,65800,양봉
휴림로봇,090710,2258,-0.85,13.85,6280,양봉
일동제약,249420,2084,0.11,1.47,40850,음봉
한라캐스트,125490,2733,-2.56,11.64,19760,양봉
삼표시멘트,038500,4218,7.06,20.45,5390,음봉
