분,신,종목명,현재가,시가,고가,저가,등락률,종목코드
경,,모베이스전자,"5,680","5,680","5,680","4,570","29.98",'012860
신,,범한퓨얼셀,"32,200","32,300","32,900","31,450","3.37",'382900
,,비나텍,"86,100","88,800","89,500","85,000","-1.37",'126340
신,,코세스,"24,350","25,550","25,550","22,950","-1.42",'089890
신,,삼양컴텍,"13,750","14,020","14,090","13,650","-1.79",'484590
신,,대양전기공업,"26,550","27,550","27,600","26,450","-2.57",'108380
신,,에스엔시스,"32,600","33,600","33,950","32,500","-3.12",'0008Z0
,,엠앤씨솔루션,"164,000","168,300","169,900","160,800","-3.64",'484870
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
