,종목명,기간 수익률,,,기간 내 최고수익률,검색시점 거래량,기타
,,1개월,3개월,3주,,,
,일동홀딩스,"","","","0%","403,700",""
,유니온,"","","","0%","16,112,607",""
,에임드바이오,"","","","+6.12%","982,227",""
,신라섬유,"","","","0%","984,075",""
,그린광학,"","","","+21.40%","11,402,926",""
,신세계,"","","","+8.97%","118,170",""
,현대차,"","","","+20.40%","7,764,177",""
,현대차우,"","","","+17.83%","496,225",""
,현대차2우B,"","","","+16.14%","396,109",""
,현대차3우B,"","","","+18.36%","64,083",""
,피제이전자,"","","","+21.73%","16,532,894",""
,인스코비,"","","","+5.60%","10,160,816",""
,코리아써우,"","","","+31.96%","38,829",""
,KCTC,"","","","+1.54%","3,117,389",""
,태영건설우,"","","","0%","450,984",""
,한올바이오파마,"","","","+3.75%","1,438,231",""
,삼화전자,"","","","0%","3,637,081",""
,계양전기우,"","","","+7.69%","395,803",""
,현대모비스,"","","","+14.90%","983,557",""
,경인양행,"","","","0%","9,549,253",""
,THE CUBE&,"","","","+50.07%","539,831",""
,삼익제약,"","","","+15.96%","2,397,149",""
,DH오토웨어,"","","","+37.07%","5,131,529",""
,상보,"","","","0%","17,403,881",""
,EG,"","","","0%","683,653",""
,에이치엔에스하이텍,"","","","+19.43%","254,013",""
,유니온머티리얼,"","","","0%","11,584,290",""
,셀루메드,"","","","+27.40%","23,710,053",""
,아이톡시,"","","","+91.02%","1,548,726",""
,구영테크,"","","","+29.93%","2,253,683",""
,에스피지,"","","","+21.12%","1,910,431",""
,빛과전자,"","","","+87.75%","37,799,339",""
,현대백화점,"","","","+6.07%","194,570",""
,인베니아,"","","","+69.07%","2,352,888",""
,현대글로비스,"","","","+21.74%","999,934",""
,모바일어플라이언스,"","","","+1.93%","21,065,913",""
,HJ중공업,"","","","+10.91%","4,135,010",""
,우림피티에스,"","","","+34.47%","11,058,417",""
,엔시트론,"","","","+20.00%","28,751,751",""
,한세실업,"","","","+1.72%","335,790",""
,파인테크닉스,"","","","+11.15%","1,499,842",""
,모트렉스,"","","","0%","10,111,322",""
,한국화장품,"","","","0%","12,118,406",""
,제이에스링크,"","","","+8.99%","263,809",""
,TIGER 현대차그룹+펀,"","","","+17.23%","739,582",""
,TIGER 200 경기소비재,"","","","+12.73%","30,039",""
,코아스템켐온,"","","","+6.69%","981,996",""
,HK이노엔,"","","","0%","765,194",""
,올릭스,"","","","0%","856,049",""
,싸이닉솔루션,"","","","+21.89%","21,559,258",""
,폴라리스세원,"","","","0%","44,571,656",""
,일동제약,"","","","0%","3,457,895",""
,야스,"","","","0%","304,005",""
,상신전자,"","","","0%","4,594,629",""
,노바텍,"","","","+3.11%","1,292,204",""
,DH오토리드,"","","","+31.19%","1,751,712",""
,액트로,"","","","+34.94%","605,529",""
,레몬,"","","","+26.30%","189,992",""
,슈어소프트테크,"","","","0%","46,869,924",""
,라온피플,"","","","+12.51%","444,199",""
,에스바이오메딕스,"","","","+0.37%","381,365",""
,현대오토에버,"","","","+27.00%","2,617,269",""
,캐리,"","","","+36.07%","1,409,646",""
,아우토크립트,"","","","+10.91%","1,944,579",""
,프레스티지바이오로직,"","","","+12.04%","1,887,225",""
,와이바이오로직스,"","","","+0.77%","306,110",""
,유일에너테크,"","","","0%","8,701,383",""
,오토앤,"","","","0%","1,729,318",""
,알멕,"","","","+65.29%","1,064,049",""
,큐로셀,"","","","+0.36%","297,892",""
,엑스플러스,"","","","0%","4,021,128",""
,에스비비테크,"","","","+41.40%","1,106,590",""
,에이프릴바이오,"","","","+2.14%","618,627",""
,뷰티스킨,"","","","+29.98%","53,080",""
,모델솔루션,"","","","+5.00%","676,096",""
,엔젯,"","","","+0.27%","5,392,442",""
,삼현,"","","","+16.04%","2,130,817",""
,두산로보틱스,"","","","+5.18%","2,174,307",""
,이노스페이스,"","","","+36.00%","3,467,135",""
,SOL 자동차TOP3플러스,"","","","+14.68%","1,198,603",""
,링크솔루션,"","","","+22.96%","1,369,525",""
,알지노믹스,"","","","+27.40%","517,185",""
,신한 블룸버그 인버스,"","","","+0.90%","37,151",""
,삼성 블룸버그 인버스,"","","","+0.87%","121,574",""
,한투 블룸버그인버스2,"","","","+0.92%","44,316",""
,KB S&P 인버스 2X WTI,"","","","+1.09%","90,037",""
,하나 S&P 인버스 2X W,"","","","+0.09%","2,579",""
