,종목명,기간 수익률,,,기간 내 최고수익률,검색시점 거래량,기타
,,1개월,3개월,3주,,,
,유한양행,"+4.17%","-9.00%","+0.33%","+0.33%","420,474","-0.50"
,기아,"+14.15%","+39.51%","+11.61%","+16.98%","971,824","15.71"
,동양,"-15.55%","-15.35%","-12.16%","+7.18%","99,723,208","-18.74"
,SOL 미국양자컴퓨팅TO,"-26.13%","-13.99%","-13.28%","+1.54%","2,397,720","-19.72"
,흥아해운,"-11.00%","-10.74%","-6.87%","+0.91%","151,238,474","-10.47"
,포스코퓨처엠,"+25.67%","+12.84%","+31.37%","+47.27%","1,670,939","23.58"
,코스모신소재,"+13.24%","-6.46%","+19.91%","+31.75%","2,974,453","10.87"
,현대차,"+22.20%","+84.53%","+23.77%","+30.72%","885,802","19.51"
,POSCO홀딩스,"+12.95%","+24.10%","+12.41%","+17.63%","441,085","10.97"
,삼성SDI,"+43.18%","+29.77%","+53.41%","+53.41%","1,096,518","38.64"
,KODEX 금액티브,"+3.22%","+15.68%","-3.10%","+5.60%","5,658,200","4.39"
,TIGER KRX금현물,"-8.80%","+0.34%","-13.46%","+3.98%","4,723,090","-9.01"
,이수페타시스,"+49.53%","+55.72%","+56.39%","+56.39%","2,967,885","88.02"
,고려아연,"-18.11%","-6.93%","-27.06%","0%","205,548","-5.41"
,HMM,"-4.80%","+1.72%","-0.98%","+3.92%","2,657,751","-1.23"
,현대모비스,"-0.50%","+50.25%","-1.17%","+5.51%","217,693","6.68"
,한국전력,"+25.73%","+42.18%","+19.50%","+20.69%","5,381,299","35.28"
,삼성생명,"-8.02%","-3.05%","-9.52%","0%","455,873","-6.29"
,KT&G,"+2.59%","+3.74%","-2.01%","+0.29%","470,888","4.03"
,코데즈컴바인,"+14.06%","+16.83%","-0.40%","+61.98%","23,683,797","19.41"
,LG화학,"+37.44%","+11.47%","+33.22%","+40.64%","479,724","28.16"
,리노공업,"-0.88%","+13.33%","+3.33%","+3.33%","1,415,598","15.79"
,산일전기,"+32.02%","+32.75%","+54.13%","+54.77%","839,621","35.60"
,한국첨단소재,"-16.71%","-39.85%","-10.40%","+0.74%","24,800,102","-19.31"
,다날,"-29.02%","-27.24%","-19.10%","+1.46%","11,116,332","-28.81"
,LG전자,"+8.67%","+11.45%","+6.63%","+9.64%","1,742,436","7.83"
,엘앤에프,"+61.82%","+37.33%","+47.27%","+78.18%","1,285,619","53.82"
,일진다이아,"-15.84%","-24.54%","-10.80%","+0.59%","4,702,379","-17.54"
,에코프로,"+78.37%","+86.90%","+89.88%","+92.86%","1,247,871","85.32"
,로보스타,"+17.81%","+18.28%","+52.15%","+61.69%","10,042,160","24.01"
,휴림로봇,"+50.89%","+161.18%","+101.10%","+101.10%","48,333,462","53.91"
,풍산,"-19.03%","-0.24%","-12.74%","+3.93%","650,600","-20.99"
,일진전기,"+47.03%","+56.19%","+62.13%","+62.13%","3,551,918","34.16"
,새빗켐,"-2.06%","-11.08%","+6.96%","+29.11%","1,842,118","6.17"
,KODEX 인버스,"-12.42%","-28.81%","-15.07%","0%","91,175,087","-14.24"
,로보로보,"+20.72%","+18.78%","+50.67%","+57.53%","8,315,833","22.35"
,올릭스,"+39.80%","+34.77%","+22.61%","+22.61%","1,562,417","22.01"
,에코프로비엠,"+21.75%","+21.18%","+30.80%","+40.74%","890,874","26.84"
,KODEX 코스닥150선물,"-11.55%","-12.31%","-13.68%","0%","42,177,488","-14.59"
,KODEX 200선물인버스2,"-24.72%","-50.77%","-28.22%","0%","849,245,150","-27.81"
,효성중공업,"+45.05%","+45.05%","+56.11%","+58.91%","56,749","29.35"
,KODEX 2차전지산업,"+28.44%","+16.20%","+31.84%","+37.96%","12,656,239","23.52"
,명인제약,"-32.63%","-44.39%","-31.81%","0%","3,110,226","-32.09"
,현대무벡스,"-15.24%","+135.38%","-0.86%","+22.72%","30,391,189","0"
,엑스게이트,"-6.61%","-16.01%","+6.84%","+18.68%","19,407,951","-6.84"
,LG에너지솔루션,"+20.26%","+1.17%","+22.86%","+33.51%","859,960","8.57"
,뉴로핏,"+10.73%","+27.23%","+31.41%","+31.41%","4,683,857","52.62"
,제닉스로보틱스,"+24.31%","-4.35%","+26.78%","+33.02%","7,399,210","11.03"
,에이프릴바이오,"+11.29%","+45.59%","+11.14%","+11.14%","1,832,354","13.02"
,ACE KRX금현물,"-9.25%","+0.42%","-13.37%","+3.86%","7,706,777","-9.10"
,삼현,"-1.59%","+122.97%","+10.78%","+16.43%","5,115,036","58.66"
,아이씨티케이,"-5.82%","-9.09%","+11.21%","+23.33%","10,220,205","-12.18"
,ACE 테슬라밸류체인액,"-4.00%","+8.57%","+7.65%","+10.15%","2,915,215","2.22"
,KODEX 2차전지산업레,"+59.75%","+24.91%","+68.44%","+86.17%","100,497,365","45.57"
,클로봇,"-9.40%","+44.29%","+9.05%","+10.95%","15,151,157","2.86"
,KODEX 미국AI전력핵심,"-14.15%","-9.08%","-4.23%","+4.75%","5,673,331","-10.83"
,미래에셋 인버스 2X,"-24.52%","-50.59%","-28.25%","0%","15,455,680","-27.70"
