분,신,종목명,현재가,시가,고가,저가,등락률,종목코드
경,,모베이스전자,"5,680","5,680","5,680","4,570","29.98",'012860
신,,클로봇,"67,000","70,900","74,000","64,400","7.03",'466100
신,,디아이,"30,550","30,250","31,200","28,450","1.50",'003160
신,,태광,"27,350","26,900","27,850","26,050","0.74",'023160
증,,티로보틱스,"22,100","21,950","24,000","21,300","-0.23",'117730
신,,SNT다이내믹스,"56,300","57,300","57,300","55,300","-0.71",'003570
신,,에스앤에스텍,"59,200","62,200","62,200","58,500","-1.00",'101490
신,,프로텍,"35,350","36,150","36,250","35,050","-1.12",'053610
신,,비츠로셀,"19,580","20,200","20,200","19,490","-1.81",'082920
신,,신성델타테크,"57,900","59,500","60,600","57,800","-2.69",'065350
신,,인화정공,"46,800","48,550","48,600","46,800","-4.10",'101930
신,,알에스오토메이션,"19,960","21,000","21,950","19,590","-4.95",'140670
증,,케이엔알시스템,"29,450","31,800","32,450","29,100","-5.00",'199430
신,,KH바텍,"13,550","14,310","14,440","13,510","-5.11",'060720
신,,한국피아이엠,"81,000","83,300","89,200","80,500","-5.26",'448900
신,,나우로보틱스,"28,800","32,500","33,750","28,000","-7.99",'459510
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
