,종목명,기간 수익률,,,기간 내 최고수익률,검색시점 거래량,기타
,,1개월,3개월,3주,,,
,한국앤컴퍼니,"","","","0%","183,897",""
,기아,"","","","0%","3,375,671",""
,노루홀딩스,"","","","0%","104,030",""
,엔비알모션,"","","","+4.85%","18,929,443",""
,한화,"","","","0%","3,819,975",""
,부국증권,"","","","+1.27%","39,996",""
,케이비아이동국실업,"","","","0%","15,219,130",""
,신영증권,"","","","+1.92%","58,272",""
,현대약품,"","","","+24.91%","11,549,989",""
,효성,"","","","0%","312,960",""
,현대차우,"","","","+2.07%","330,430",""
,현대차3우B,"","","","+2.49%","54,068",""
,국도화학,"","","","0%","57,182",""
,F&F홀딩스,"","","","0%","39,029",""
,코리아써키트,"","","","+3.14%","1,209,913",""
,코리아써우,"","","","+1.53%","160,777",""
,코리아써키트2우B,"","","","+3.73%","24,385",""
,에스엠코어,"","","","0%","4,730,603",""
,SOL 조선TOP3플러스레,"","","","0%","894,907",""
,포스코엠텍,"","","","0%","10,801,468",""
,OCI홀딩스,"","","","0%","252,013",""
,KODEX K방산TOP10레버,"","","","0%","2,006,792",""
,고려아연,"","","","+10.22%","155,057",""
,삼성중공업,"","","","0%","14,217,617",""
,PLUS K방산레버리지,"","","","0%","318,500",""
,아센디오,"","","","+29.76%","1,029,251",""
,화승코퍼레이션,"","","","0%","1,071,498",""
,TIGER 코리아휴머노이,"","","","+1.72%","12,488,463",""
,포스코DX,"","","","+8.67%","17,269,595",""
,HLB이노베이션,"","","","0%","3,361,014",""
,경창산업,"","","","0%","12,265,697",""
,디에이치엑스컴퍼니,"","","","0%","432,655",""
,더라미,"","","","+2.72%","665,159",""
,모아텍,"","","","0%","153,070",""
,폴라리스AI파마,"","","","0%","3,577,781",""
,메디아나,"","","","+0.27%","1,989,162",""
,이스트소프트,"","","","+2.04%","484,142",""
,한국항공우주,"","","","0%","1,442,600",""
,TPC,"","","","0%","848,437",""
,재영솔루텍,"","","","+9.31%","15,664,558",""
,인터플렉스,"","","","0%","323,785",""
,큐로홀딩스,"","","","0%","1,814,445",""
,세동,"","","","+6.67%","5,041,917",""
,유진로봇,"","","","+18.84%","4,991,284",""
,포스코스틸리온,"","","","0%","511,377",""
,에스피지,"","","","0%","3,144,418",""
,아진엑스텍,"","","","0%","9,961,365",""
,해성에어로보틱스,"","","","0%","3,284,556",""
,큐렉소,"","","","0%","2,569,107",""
,영림원소프트랩,"","","","0%","602,844",""
,LG씨엔에스,"","","","0%","2,702,247",""
,케이프,"","","","0%","703,800",""
,비엘팜텍,"","","","0%","3,601,218",""
,JW신약,"","","","+6.15%","15,574,151",""
,코아스,"","","","+1.25%","168,944",""
,엘엠에스,"","","","0%","519,316",""
,아미노로직스,"","","","+1.90%","1,278,411",""
,해성옵틱스,"","","","0%","5,020,309",""
,제우스,"","","","0%","316,576",""
,제주반도체,"","","","0%","2,839,035",""
,THE E&M,"","","","0%","306,415",""
,메타랩스,"","","","0%","4,786,632",""
,휴림로봇,"","","","+14.68%","56,550,602",""
,DYP,"","","","+29.98%","5,336,259",""
,푸른기술,"","","","0%","623,756",""
,HJ중공업,"","","","0%","2,877,717",""
,우림피티에스,"","","","0%","3,986,536",""
,모베이스,"","","","+1.87%","843,082",""
