종목코드,종목명,현재가,등락률,거래대금_억
0088M0,메쥬,39750,84.03,7870.91153475
014160,대영포장,1409,29.98,636.26412972
108860,셀바스AI,17120,26.53,3205.7416648
038110,에코플라스틱,4160,19.03,2694.92094357
348370,엔켐,46250,18.89,838.90977075
950160,코오롱티슈진,120200,17.5,3227.4449585
060280,큐렉소,17260,15.07,1753.88228155
100090,SK오션플랜트,28600,14.17,3968.44071
0120G0,삼양바이오팜,136700,14.11,631.912017
011280,태림포장,2500,13.64,533.64332398
174900,앱클론,75900,13.45,777.4472745
0082N0,카나프테라퓨틱스,44250,12.88,581.92927275
009420,한올바이오파마,64100,10.71,834.5891155
024060,흥구석유,21150,9.87,2200.1896836
347700,스피어,50300,8.99,2384.08510925
376900,로킷헬스케어,129300,7.48,608.9713275
226950,올릭스,199900,6.56,948.565027
272550,삼양패키징,15150,6.24,816.38467795
078600,대주전자재료,134000,6.18,736.7072955
000390,삼화페인트,10200,6.14,1408.7476619
196170,알테오젠,379000,5.72,3416.3098375
062970,한국첨단소재,3210,5.42,1048.08593427
027360,아주IB투자,8980,5.4,6284.1449273
493280,아이엠바이오로직스,75900,5.12,600.7501535
476830,알지노믹스,230500,5.01,1308.3173725
100790,미래에셋벤처투자,28300,4.81,6626.418973
014970,삼륭물산,10290,4.57,1086.42134815
000250,삼천당제약,1163000,4.3,2493.19133
298380,에이비엘바이오,179200,4.0,1454.421879
486990,노타,43850,3.54,636.10137625
047050,포스코인터내셔널,78100,3.03,751.9371295
105560,KB금융,152300,1.94,1312.444718
128940,한미약품,551000,1.85,560.442555
007810,코리아써키트,80900,1.76,623.9573725
003000,부광약품,9370,1.41,1421.2675079
062040,산일전기,167900,1.27,964.0965915
047810,한국항공우주,187200,1.19,1223.8906035
055550,신한지주,93000,0.98,787.63367
042660,한화오션,125500,0.64,1108.546845
322000,HD현대에너지솔루션,127400,0.47,1687.516164
263750,펄어비스,50400,0.4,1737.4657165
009150,삼성전기,455750,0.28,2022.986835
079550,LIG넥스원,735000,0.14,2973.66989
017670,SK텔레콤,79900,0.13,584.1323255
010170,대한광통신,9180,0.11,1439.5252219
