종목코드,종목명,현재가,등락률,거래대금_억
493280,아이엠바이오로직스,104000,300.0,1136.042054
100840,SNT에너지,54000,29.96,1022.04474525
069540,빛과전자,2190,29.82,931.11340192
375500,DL이앤씨,66850,28.81,1829.855127
100090,SK오션플랜트,25300,28.56,3109.796925
044490,태웅,57800,27.59,2019.89850625
000210,DL,64400,25.54,510.182022
046120,오르비텍,13730,25.05,2103.0973652
023160,태광,35400,22.49,597.29806375
006360,GS건설,31650,21.97,2612.79537825
327260,RF머트리얼즈,73700,21.82,555.0058655
036930,주성엔지니어링,74000,21.31,4186.937065
105840,우진,31300,19.69,1647.763791
003380,하림지주,18000,19.21,1611.9730716
217590,티엠씨,23250,18.74,786.27612575
018000,유니슨,1652,18.59,609.33345391
053690,한미글로벌,27400,18.36,791.639727
001510,SK증권,2565,17.66,10982.23738358
000250,삼천당제약,918000,15.47,5385.68704
047040,대우건설,18590,14.97,16599.9834791
043260,성호전자,45350,13.38,951.1004245
078590,휴림에이텍,1033,13.27,725.44485538
008700,아남전자,1782,13.21,695.5771073
388050,지투파워,13090,11.78,1100.27521555
002780,진흥기업,1167,11.67,1044.62024145
131970,두산테스나,102200,11.21,855.6351925
192820,코스맥스,197200,10.04,518.9726505
0082N0,카나프테라퓨틱스,49900,9.91,1036.753804
475150,SK이터닉스,58900,9.68,6212.524383
051600,한전KPS,67300,9.61,776.4553485
130660,한전산업,22250,9.07,588.359267
003530,한화투자증권,7980,8.13,1248.8179506
028050,삼성E&A,35250,8.13,990.97523325
261780,차백신연구소,4400,7.71,1436.47511467
353200,대덕전자,83200,7.63,1900.892497
128940,한미약품,558000,7.51,539.426375
178320,서진시스템,48700,7.27,2172.09653725
141080,리가켐바이오,213500,6.8,606.2597525
417200,LS머트리얼즈,25350,6.74,3059.14690875
078600,대주전자재료,127400,6.43,668.8667995
003490,대한항공,26100,6.31,725.2889835
006910,보성파워텍,12830,5.86,2709.12900145
047050,포스코인터내셔널,75900,5.71,1192.94391
009830,한화솔루션,52300,5.13,7328.233897
083650,비에이치아이,109600,5.08,579.737682
034730,SK,362500,4.77,853.7687025
067310,하나마이크론,34850,4.03,532.96772925
052690,한전기술,174200,3.69,756.228057
440110,파두,59000,3.51,757.649223
222800,심텍,62100,3.33,579.661216
096770,SK이노베이션,113900,3.26,515.191499
034020,두산에너빌리티,109400,2.92,7767.7114705
028260,삼성물산,299250,2.84,1097.9629675
187660,현대ADM,14780,2.71,2257.153861
050890,쏠리드,13250,2.71,2978.3982093
010060,OCI홀딩스,203500,2.67,737.9294735
140410,메지온,93800,2.51,664.250232
001440,대한전선,30850,2.49,729.1835105
112610,씨에스윈드,66400,2.31,732.967983
000150,두산,1175000,2.26,597.87221
117580,대성에너지,11120,2.11,618.8840136
097230,HJ중공업,28350,1.98,734.6368215
080220,제주반도체,43750,1.98,563.87272225
071050,한국금융지주,233500,1.97,557.5868575
006800,미래에셋증권,67900,1.8,1496.1058875
316140,우리금융지주,34200,1.79,512.3943825
298040,효성중공업,2738000,1.67,680.21156
010120,LS ELECTRIC,886000,1.49,955.435775
066570,LG전자,117800,1.38,641.501161
005490,POSCO홀딩스,342000,1.18,570.5365075
015760,한국전력,48800,1.04,1128.2611225
042700,한미반도체,309500,0.81,1751.107515
010140,삼성중공업,28700,0.7,1371.36624625
010950,S-Oil,111800,0.54,564.9042765
376900,로킷헬스케어,129400,0.54,620.3170875
476830,알지노믹스,215000,0.47,780.36694
086790,하나금융지주,113700,0.44,670.0875755
298380,에이비엘바이오,190700,0.37,545.068455
035420,NAVER,221000,0.23,939.97784
055550,신한지주,96700,0.21,1278.976993
086520,에코프로,151300,0.13,919.9125005
