종목코드,종목명,현재가,등락률,거래대금_억
047040,대우건설,22550,29.97,19198.82341405
006360,GS건설,37400,29.86,5523.41453125
033160,엠케이전자,20600,26.77,729.47315565
375500,DL이앤씨,95200,25.93,5484.778336
079900,전진건설로봇,73000,25.86,1791.3914895
039610,화성밸브,9420,22.98,550.87258385
440110,파두,57000,21.28,1133.0610435
000720,현대건설,188700,21.04,10843.732677
038500,삼표시멘트,17450,20.34,3675.2243827
032820,우리기술,23650,18.55,9377.5007235
187660,페니트리움바이오,14000,18.54,648.8430148
222800,심텍,68000,17.44,1347.451715
006110,삼아알미늄,42200,16.74,804.17960825
010170,대한광통신,14690,16.22,9688.05172275
402340,SK스퀘어,578000,15.83,4306.0131286
319400,현대무벡스,29200,15.64,751.16684
053690,한미글로벌,32750,15.52,756.4447855
000150,두산,1204000,14.78,1870.715755
080220,제주반도체,43000,13.46,955.25298325
007660,이수페타시스,120100,13.3,1479.15816
000660,SK하이닉스,1033000,12.77,68395.793255
028260,삼성물산,309000,12.77,2365.78325
009150,삼성전기,514000,12.47,4780.6475475
317850,대모,9670,12.44,571.06730555
036930,주성엔지니어링,68000,12.4,1160.3883095
347700,스피어,45500,12.35,672.587996
298040,효성중공업,2930000,12.26,2100.5317
039490,키움증권,459500,12.21,789.9775525
071050,한국금융지주,239000,12.21,854.280095
001440,대한전선,31400,11.55,1458.77566575
090710,휴림로봇,11580,11.35,988.92505615
100790,미래에셋벤처투자,29650,11.26,1636.6657265
277810,레인보우로보틱스,606000,11.19,1014.87114
042700,한미반도체,280500,10.65,2820.4622025
403870,HPSP,45900,10.2,1151.85926825
006800,미래에셋증권,67700,10.08,2288.51447
015760,한국전력,43900,10.03,1727.136192
267260,HD현대일렉트릭,980000,9.99,1534.002185
004020,현대제철,37850,9.87,551.3375515
108490,로보티즈,256000,9.87,507.9220925
062040,산일전기,147000,9.7,966.15884012
016360,삼성증권,104400,9.66,563.2203975
034730,SK,342000,9.44,727.1417225
001250,GS글로벌,3760,9.3,816.75752131
052690,한전기술,172800,9.3,609.2063265
017670,SK텔레콤,89000,9.07,1757.0635315
066570,LG전자,116700,8.96,1376.0807585
267270,HD건설기계,160900,8.86,1262.5971275
009830,한화솔루션,40300,8.48,1568.128027
003490,대한항공,24950,8.01,704.0283235
089030,테크윙,50800,7.86,613.944557
017900,광전자,8100,7.71,3002.19423635
010130,고려아연,1585000,7.6,5602.61681814
095340,ISC,257000,7.53,1181.98836
000990,DB하이텍,94400,7.52,517.346397
034220,LG디스플레이,12110,7.45,745.49034645
032830,삼성생명,238500,7.43,962.9097425
005380,현대차,508000,7.4,6478.2136625
353200,대덕전자,88600,7.39,1136.2224225
039030,이오테크닉스,442000,7.28,555.0365825
005930,삼성전자,210500,7.12,75679.15158059
037030,파워넷,6080,7.04,1088.0046435
005290,동진쎄미켐,47900,7.04,613.6999385
008970,KBI동양철관,1847,6.7,631.87421702
005935,삼성전자우,139600,6.65,6757.9364005
034020,두산에너빌리티,101200,6.64,4032.09573
011070,LG이노텍,347000,6.61,928.293915
051910,LG화학,344500,6.49,1272.5312775
058470,리노공업,116800,6.47,1295.007141
240810,원익IPS,121400,6.4,930.145636
105560,KB금융,156000,6.34,1967.8307055
476830,알지노믹스,186800,5.9,605.4507465
055550,신한지주,96700,5.8,1248.7959105
064260,다날,7480,5.8,1113.8127397
196170,알테오젠,374500,5.79,1359.6011275
086520,에코프로,153100,5.73,1966.8124175
028050,삼성E&A,50500,5.65,4813.24694975
042660,한화오션,127700,5.62,1244.4371995
010140,삼성중공업,28300,5.6,1050.95770775
000270,기아,159200,5.57,1796.719843
278470,에이피알,335500,5.5,1292.72078
086790,하나금융지주,117100,5.31,1177.4403465
033790,피노,10050,5.24,691.6716118
028300,HLB,54900,5.17,895.3608855
043260,성호전자,42600,4.93,599.50138825
005490,POSCO홀딩스,362500,4.92,1627.2292225
027360,아주IB투자,9050,4.87,575.7001447
316140,우리금융지주,33400,4.87,736.729634
000810,삼성화재,468000,4.82,652.37103
450080,에코프로머티,76600,4.79,1713.6876045
050890,쏠리드,15100,4.72,939.7325481
005387,현대차2우B,246500,4.67,878.5268125
012330,현대모비스,407000,4.36,1345.5368075
068270,셀트리온,202000,4.28,1172.0005795
178320,서진시스템,44350,4.11,567.7000055
003670,포스코퓨처엠,217500,4.07,747.251745
065770,CS,2520,3.7,760.1937844
009540,HD한국조선해양,389500,3.59,853.56202
247540,에코프로비엠,208500,3.47,1219.495685
006400,삼성SDI,471500,3.29,3820.7509025
141080,리가켐바이오,175700,3.17,1000.329087
035720,카카오,47850,3.13,772.75194075
329180,HD현대중공업,484500,3.09,1778.162455
298380,에이비엘바이오,158400,2.99,791.03756
100090,SK오션플랜트,26600,2.9,1017.3575465
035420,NAVER,201500,2.86,1410.874039
394420,리센스메디컬,24200,2.54,577.6187365
082920,비츠로셀,38850,2.37,622.910339
047810,한국항공우주,190400,2.2,1117.43605
352820,하이브,260500,1.76,1218.1368575
062970,한국첨단소재,4160,1.59,1711.42964065
322000,HD현대에너지솔루션,171400,1.54,1972.017636
046970,우리로,7160,1.27,816.5653139
207940,삼성바이오로직스,1598000,0.76,843.035025
079550,LIG넥스원,833000,0.73,3404.6689
003230,삼양식품,1171000,0.6,763.668325
049080,기가레인,2405,0.21,715.00287776
