종목코드,종목명,현재가,등락률,거래대금_억
0010S0,와이즈플래닛컴퍼니,45350,277.92,10421.593731
396300,HT로보틱스,6010,29.95,711.82305867
115440,우리넷,12120,29.9,795.32866075
393210,토마토시스템,4135,24.74,549.60836716
387690,레메디,18540,19.46,1352.5258559
419050,삼기에너지솔루션즈,1900,18.53,686.73656296
440110,파두,81500,12.72,1020.409598
356680,엑스게이트,18380,11.12,3215.7229425
089970,브이엠,62800,10.95,636.6332875
319660,피에스케이,143900,9.93,781.3276
478340,나라스페이스테크놀로지,14290,9.67,1410.2677529
010060,OCI홀딩스,206000,9.57,868.5797845
095610,테스,161900,8.95,565.0921985
072950,빛샘전자,14130,8.69,1744.17771055
103590,일진전기,81600,6.67,797.2589965
030530,원익홀딩스,28250,6.6,1896.60687275
009830,한화솔루션,29150,6.19,1102.4244865
353200,대덕전자,119200,6.14,1791.733901
096770,SK이노베이션,148800,5.53,1470.6396565
007660,이수페타시스,118400,4.87,1055.4841035
402340,SK스퀘어,1181000,4.24,11260.42267813
950260,인제니아테라퓨틱스(Reg.S),24400,4.05,775.79872225
005935,삼성전자우,220000,4.02,11787.60674446
046970,우리로,7880,3.55,935.28913775
128940,한미약품,519000,3.39,653.944005
005930,삼성전자,285000,3.07,57565.0774699
034730,SK,606000,3.06,773.30363
080220,제주반도체,77800,2.91,661.392128
036930,주성엔지니어링,209000,2.7,1687.1819375
093370,후성,13940,2.5,1050.00080945
240810,원익IPS,133300,2.3,3462.2075895
000150,두산,1504000,2.1,1160.888505
403870,HPSP,55400,2.03,727.96752
278470,에이피알,368500,1.94,679.795915
000660,SK하이닉스,1862000,1.2,53902.61230143
042700,한미반도체,242500,1.04,864.7336375
010950,S-Oil,155900,1.04,582.8916955
067310,하나마이크론,46100,0.99,753.3686205
009150,삼성전기,1499000,0.87,7287.79907
032830,삼성생명,293500,0.86,653.39482
000990,DB하이텍,131600,0.69,522.2990115
222800,심텍,148900,0.54,846.95112
196170,알테오젠,250500,0.4,539.66658
373220,LG에너지솔루션,351500,0.29,781.292405
108490,로보티즈,300500,0.17,622.367035
