종목코드,종목명,현재가,등락률,거래대금_억
487400,케이앤에스아이앤씨,15380,39.82,5013.8828286
332570,PS일렉트로닉스,11160,29.92,2062.9456748
388050,지투파워,10430,29.89,790.70403875
125490,한라캐스트,10830,21.28,683.2112235
950160,코오롱티슈진,25600,19.91,1520.40570175
001820,삼화콘덴서,103300,17.39,4153.4494445
119850,지엔씨에너지,55400,14.94,1010.1744795
009150,삼성전기,1503000,12.58,17393.036365
073240,금호타이어,8140,9.7,1434.0927342
000490,대동,8480,9.42,731.81963
093370,후성,11960,9.22,748.5349648
402340,SK스퀘어,1117000,9.08,8693.80357
181710,NHN,66700,8.81,558.47629
010060,OCI홀딩스,278000,8.59,1320.02863
100790,미래에셋벤처투자,17570,8.39,1188.56362545
475150,SK이터닉스,57100,8.35,4215.765192
006910,보성파워텍,7850,8.28,722.22140395
112610,씨에스윈드,46900,8.19,543.1503995
240810,원익IPS,120000,7.62,1434.4898055
007660,이수페타시스,96800,7.44,693.7191065
088350,한화생명,5030,7.02,751.09258466
082740,한화엔진,48250,6.75,536.76249925
403870,HPSP,41200,6.6,1147.36783975
078930,GS,107400,6.34,1024.059616
079550,LIG디펜스앤에어로스페이스,837000,6.22,1572.97107688
000660,SK하이닉스,1593000,5.92,74848.40523
108490,로보티즈,261000,5.45,668.2338625
353200,대덕전자,113000,5.41,1225.9894475
043260,성호전자,21000,5.37,847.50314355
004170,신세계,419500,5.14,520.9273875
035420,NAVER,226500,5.1,4116.35044
047810,한국항공우주,151200,4.93,1430.024522
005930,삼성전자,268000,4.89,95176.38724321
153890,져스텍,13270,4.65,879.18174635
298040,효성중공업,3017000,4.32,1355.275235
214450,파마리서치,425500,4.29,1055.2510725
006800,미래에셋증권,38050,4.25,1547.15071175
090460,비에이치,19250,4.22,544.1971037
042700,한미반도체,226000,3.91,1683.2938075
126730,코칩,20450,3.86,711.0406172
017670,SK텔레콤,91100,3.76,2396.338776
003670,포스코퓨처엠,165900,3.69,620.715981
067310,하나마이크론,36650,3.39,679.6314435
066970,엘앤에프,102600,3.22,505.8309215
047040,대우건설,18400,3.2,1021.79229645
036930,주성엔지니어링,179300,3.05,3075.514228
055550,신한지주,106600,2.7,1334.312028
010120,LS ELECTRIC,214000,2.64,1485.0226875
012330,현대모비스,511000,2.51,1539.10657
012450,한화에어로스페이스,1185000,2.51,2924.569355
086790,하나금융지주,131000,2.42,1385.4124465
009830,한화솔루션,36550,2.38,1976.2650145
322000,HD현대에너지솔루션,124200,2.22,620.464051
001440,대한전선,30100,2.21,823.0173335
005380,현대차,418500,2.2,2485.4690225
028260,삼성물산,365000,2.1,1861.81839
161890,한국콜마,135200,2.04,1733.6814075
347850,디앤디파마텍,61700,1.98,710.0883145
373220,LG에너지솔루션,365500,1.95,1174.5631075
011070,LG이노텍,615000,1.82,2031.771745
080220,제주반도체,88300,1.49,1886.134421
034730,SK,553000,1.47,1111.24188
024840,KBI메탈,5670,1.43,523.64807455
277810,레인보우로보틱스,497000,1.43,550.9119425
064400,LG씨엔에스,78400,1.42,825.0340135
006360,GS건설,35700,1.42,1151.84488925
035720,카카오,40100,1.39,1044.0718095
000270,기아,137400,1.33,1426.603105
105560,KB금융,168100,1.27,2148.744779
003230,삼양식품,1219000,1.25,722.528145
222800,심텍,105800,1.15,1114.4884895
010140,삼성중공업,22000,1.15,1018.96444325
207940,삼성바이오로직스,1564000,0.97,867.508975
316140,우리금융지주,33300,0.91,732.00669675
005935,삼성전자우,187800,0.91,10456.18499443
241710,코스메카코리아,124500,0.89,551.560513
086520,에코프로,92100,0.88,829.995798
034020,두산에너빌리티,80900,0.75,1850.151241
064350,현대로템,147600,0.75,701.598035
066570,LG전자,206500,0.73,2500.2618375
042660,한화오션,90700,0.67,1145.137233
018260,삼성에스디에스,237000,0.64,847.62954
000150,두산,1262000,0.64,709.29407
278470,에이피알,399500,0.63,1219.5034075
267260,HD현대일렉트릭,785000,0.38,1217.45551
006400,삼성SDI,487000,0.31,1566.694705
005490,POSCO홀딩스,325500,0.15,1460.08378
