종목코드,종목명,현재가,등락률,거래대금_억
408470,한패스,27850,46.58,12431.92976375
115440,우리넷,12870,30.0,530.6100581
003000,부광약품,9240,29.96,1646.81962925
348370,엔켐,38900,29.88,626.195545
017900,광전자,3395,29.83,1000.70404727
100790,미래에셋벤처투자,27000,29.81,2088.31298575
263750,펄어비스,50400,23.83,3969.2282875
138080,오이솔루션,42150,23.61,1105.1012325
131030,옵투스제약,17490,23.34,635.3836149
214390,경보제약,9040,23.33,1092.72120595
027360,아주IB투자,8030,22.41,2390.08106105
007810,코리아써키트,79200,21.47,1110.2321465
050890,쏠리드,16000,20.12,7506.767889
000250,삼천당제약,1109000,18.48,3817.89009
066970,엘앤에프,144000,15.2,3288.9892835
218410,RFHIC,87900,15.05,1125.359844
079550,LIG넥스원,737000,14.98,4818.216135
069540,빛과전자,2990,14.12,1227.71827201
375500,DL이앤씨,68800,14.1,3009.763906
353200,대덕전자,88500,14.05,2024.0714665
215600,신라젠,3955,13.65,507.33375878
478340,나라스페이스테크놀로지,49050,12.5,571.29709325
489790,한화비전,91800,10.6,2909.6861155
067310,하나마이크론,36075,10.49,1012.7270605
298040,효성중공업,2981000,10.37,2193.150215
010170,대한광통신,9080,10.06,3559.3009467
222800,심텍,62400,9.86,723.5781345
006800,미래에셋증권,67000,9.66,3243.709308
475150,SK이터닉스,56400,8.88,1763.956965
082920,비츠로셀,35500,8.73,1025.27578
062040,산일전기,165700,8.44,662.490225
000150,두산,1245000,8.17,942.739995
368770,파이버프로,23050,7.96,2060.29011025
120110,코오롱인더,79100,7.77,602.6825585
347700,스피어,46150,7.33,866.96519425
064350,현대로템,190800,7.25,1867.232552
052690,한전기술,169100,7.16,659.358294
267260,HD현대일렉트릭,991000,7.14,1280.9124
011070,LG이노텍,312000,6.85,1169.0117125
005830,DB손해보험,195500,6.42,565.5157955
014970,삼륭물산,10160,6.39,1304.0832861
272210,한화시스템,134900,5.97,1856.6708125
001515,SK증권우,7470,5.66,591.7432183
000720,현대건설,158300,5.6,1481.628027
295310,에이치브이엠,110000,5.47,665.0173215
141080,리가켐바이오,215000,5.39,604.3072425
005880,대한해운,2457,5.22,823.54039794
247540,에코프로비엠,202500,4.92,901.5546905
071050,한국금융지주,220500,4.5,503.5703835
001440,대한전선,30250,4.49,598.449683
010950,S-Oil,112900,4.15,507.823353
476830,알지노믹스,217000,4.08,801.3703275
012450,한화에어로스페이스,1389000,4.04,2408.316885
047810,한국항공우주,183000,3.8,894.813208
352820,하이브,304000,3.75,1151.677475
080220,제주반도체,43900,3.66,547.4012545
010120,LS ELECTRIC,841000,3.44,1111.08805
009150,삼성전기,452000,3.43,1923.418695
450080,에코프로머티,70300,3.38,1142.814797
032830,삼성생명,229000,3.15,907.1239725
034020,두산에너빌리티,102800,2.7,3062.3933215
055550,신한지주,92400,2.67,952.632456
003670,포스코퓨처엠,201500,2.6,648.2776295
028260,삼성물산,288000,2.31,927.4257225
086790,하나금융지주,108900,2.25,881.579709
066310,큐에스아이,13455,2.09,774.5438618
089030,테크윙,54400,2.06,624.911883
403870,HPSP,49750,2.05,1335.84610875
402340,SK스퀘어,607000,2.02,2714.61182
322000,HD현대에너지솔루션,126800,2.01,876.5266215
068270,셀트리온,203500,1.95,854.7827625
000810,삼성화재,489500,1.87,537.4475925
316140,우리금융지주,32900,1.86,529.25085
012330,현대모비스,399500,1.78,793.06785
105560,KB금융,149400,1.7,1887.7962845
035720,카카오,49000,1.66,537.4466155
100590,머큐리,5990,1.53,755.67679075
005380,현대차,499500,1.52,5139.57057
006400,삼성SDI,402500,1.26,1489.660935
003230,삼양식품,1218000,1.25,530.03776
000660,SK하이닉스,998000,1.22,41555.944995
042660,한화오션,123600,1.06,838.4722515
010140,삼성중공업,26650,0.95,915.39089825
086520,에코프로,150400,0.94,1377.2026605
034730,SK,346500,0.87,826.10043
196170,알테오젠,358500,0.84,684.646495
035420,NAVER,215250,0.82,899.5464375
009540,HD한국조선해양,382500,0.79,636.237145
042700,한미반도체,298500,0.67,1837.0057375
005490,POSCO홀딩스,341500,0.59,736.42473
051910,LG화학,315500,0.48,574.511705
277810,레인보우로보틱스,604000,0.33,628.663455
005930,삼성전자,190200,0.26,38761.1237195
066570,LG전자,114600,0.26,784.8922435
000270,기아,158300,0.25,1470.021982
