종목코드,종목명,현재가,등락률,거래대금_억
115440,우리넷,16900,30.0,2077.2088105
217590,티엠씨,31450,29.96,931.0863925
095270,웨이브일렉트로,10150,29.96,715.4580135
008350,남선알미늄,2865,29.93,5247.61152422
046970,우리로,9990,29.91,3112.79539375
017900,광전자,13680,29.91,778.10915215
035460,기산텔레콤,6030,29.82,500.16079606
332570,PS일렉트로닉스,6670,27.05,859.2767948
018470,조일알미늄,1917,26.62,2651.1758445
474610,RF시스템즈,14400,23.29,612.05683595
100590,머큐리,11320,21.85,1389.47800345
056360,코위버,12440,21.01,924.9743159
088800,에이스테크,6720,20.21,1503.77604245
278280,천보,64600,19.63,651.184339
025860,남해화학,9390,18.26,2960.70336465
490470,세미파이브,36500,16.61,5071.03876825
215790,이노인스트루먼트,3340,14.19,1413.28813693
010120,LS ELECTRIC,179200,13.71,4584.6996395
062040,산일전기,172900,12.64,2102.959197
010170,대한광통신,19870,11.82,11307.9737869
024740,한일단조,3780,11.5,749.3233248
001780,알루코,2885,11.39,1309.34802518
321260,프로이천,3075,11.21,839.1835689
031310,아이즈비전,2490,11.16,532.63150249
257720,실리콘투,46900,9.96,959.3044545
039030,이오테크닉스,490000,9.38,823.0311825
017960,한국카본,50700,8.92,784.9501485
006110,삼아알미늄,59700,8.15,666.985886
043260,성호전자,48000,7.99,1377.85980925
100790,미래에셋벤처투자,29950,7.16,1952.570452
476830,알지노믹스,201500,6.9,787.1746325
037030,파워넷,7000,6.87,698.5782145
092790,넥스틸,17610,6.73,647.90413715
357880,SKAI,4015,6.08,534.40148675
005290,동진쎄미켐,52200,5.45,1127.90989
178320,서진시스템,47700,5.41,1168.27026775
010820,퍼스텍,12000,5.36,2432.0767088
483650,달바글로벌,188600,5.36,567.227172
010130,고려아연,1663000,5.19,706.81612
024060,흥구석유,20250,4.6,913.9892069
003280,흥아해운,3430,4.41,1118.42641368
003230,삼양식품,1290000,4.2,984.572015
007660,이수페타시스,119700,4.18,1115.375039
000250,삼천당제약,526000,4.16,1913.1141275
298040,효성중공업,3058000,4.01,1676.15907
263750,펄어비스,57700,3.78,709.7892975
011930,신성이엔지,3925,3.7,2847.49560724
440110,파두,57100,2.51,541.080126
402340,SK스퀘어,580000,2.11,2319.315385
039490,키움증권,462500,2.1,564.0237975
218410,RFHIC,93800,2.07,595.855305
079550,LIG넥스원,939000,1.95,3566.127295
071050,한국금융지주,246000,1.86,863.262835
278470,에이피알,399500,1.65,1148.84357
049080,기가레인,2495,1.63,547.89999783
050890,쏠리드,17350,1.58,4024.9698168
012450,한화에어로스페이스,1530000,1.53,3036.878335
058470,리노공업,113400,1.43,651.5316695
000660,SK하이닉스,1040000,1.27,28459.80529
452300,캡스톤파트너스,4855,1.25,568.85098818
062970,한국첨단소재,4100,1.11,598.92892792
010950,S-Oil,122000,1.08,760.345103
000150,두산,1294000,1.01,864.64154
001440,대한전선,32000,0.95,1305.03535975
267260,HD현대일렉트릭,1007000,0.8,1127.34412
009150,삼성전기,568000,0.53,2932.45995
032820,우리기술,21100,0.48,2089.1613585
086790,하나금융지주,120000,0.42,917.4330305
267270,HD건설기계,163100,0.25,590.6387575
095610,테스,82700,0.24,506.784244
032830,삼성생명,235000,0.21,894.0813325
064260,다날,7970,0.13,1008.62729045
