종목코드,종목명,현재가,등락률,거래대금_억
0082N0,카나프테라퓨틱스,50600,153.0,13414.93041375
085620,미래에셋생명,17160,30.0,721.6920994
003280,흥아해운,3035,29.98,6516.04807863
007340,DN오토모티브,35850,29.89,512.8661725
242040,나무기술,6390,29.88,847.8138753
321370,센서뷰,4565,24.73,2034.27326572
095340,ISC,220000,18.66,1195.223128
069540,빛과전자,1678,18.5,854.9747207
046120,오르비텍,10000,17.92,1729.97363165
319660,피에스케이,74000,15.44,717.389758
005880,대한해운,2515,14.32,5094.80842339
008350,남선알미늄,1715,13.88,2433.99608502
357880,SKAI,5320,10.83,1759.23901706
010820,퍼스텍,8000,9.44,766.26166155
041910,폴라리스AI파마,8920,8.91,2358.79770935
474610,RF시스템즈,10910,8.02,1577.30329255
222800,심텍,56000,7.9,535.888663
000660,SK하이닉스,974000,7.03,36264.7105452
005860,한일사료,4570,6.65,1079.80325586
027360,아주IB투자,6330,6.57,1376.6699635
0007C0,아크릴,45650,6.53,1373.45215675
006260,LS,266000,6.4,994.44673
087010,펩트론,316500,6.21,1149.274545
001040,CJ,186900,5.95,764.3927675
353200,대덕전자,67000,5.85,948.1536955
402340,SK스퀘어,562000,5.24,2884.51545928
440110,파두,69300,4.68,701.441205
047810,한국항공우주,191200,4.65,2274.46409
263750,펄어비스,68500,4.1,849.9114795
006910,보성파워텍,12090,4.04,5283.65176685
005935,삼성전자우,138300,3.29,4566.012607
009150,삼성전기,413000,3.12,2907.2387875
005930,삼성전자,188700,2.83,36837.404299
403870,HPSP,43850,2.81,726.3925045
006800,미래에셋증권,70900,2.46,2954.542011
071050,한국금융지주,223500,1.82,807.5243825
003490,대한항공,24650,1.44,524.92726675
089030,테크윙,64100,1.26,1073.0241765
028670,팬오션,5100,0.99,604.739916
066570,LG전자,114200,0.97,739.65129
079550,LIG넥스원,730000,0.97,4530.26638
178320,서진시스템,46300,0.87,753.8053035
476830,알지노믹스,193900,0.67,873.6122505
105560,KB금융,149300,0.27,1439.273993
003670,포스코퓨처엠,191200,0.16,1165.50601
047050,포스코인터내셔널,73800,0.14,633.135826
080220,제주반도체,43800,0.11,765.774173
