종목코드,종목명,현재가,등락률,거래대금_억
322000,HD현대에너지솔루션,191100,30.0,5883.617607
017900,광전자,4455,29.88,1060.7067551
093370,후성,8820,27.09,707.47051185
010170,대한광통신,12820,26.68,8724.6423886
011930,신성이엔지,3480,26.55,6335.82813899
010820,퍼스텍,9130,24.9,1137.6981626
475150,SK이터닉스,67800,23.27,7095.985683
001250,GS글로벌,3175,22.35,864.84013463
092790,넥스틸,14840,20.75,780.2913616
112610,씨에스윈드,76700,18.18,1662.0470545
028050,삼성E&A,40400,15.1,3002.95148675
0010F0,보원케미칼,9180,15.04,3769.6663611
044490,태웅,50600,14.09,513.038256
100840,SNT에너지,52300,11.51,672.7448535
010060,OCI홀딩스,227500,10.98,1074.5548375
079550,LIG넥스원,869000,10.84,7570.18966
375500,DL이앤씨,75400,10.72,2203.570815
058470,리노공업,109000,9.99,813.4632585
009830,한화솔루션,39050,9.69,3986.857075
329180,HD현대중공업,479500,9.23,3286.68398
009150,삼성전기,455500,9.23,3599.752275
050890,쏠리드,16430,9.02,3421.16735855
033790,피노,10170,8.77,1089.57872695
100790,미래에셋벤처투자,27900,8.35,1670.610402
389260,대명에너지,26700,8.32,720.8596845
047050,포스코인터내셔널,85700,7.8,1446.145255
005010,휴스틸,6120,7.56,628.32420685
042660,한화오션,127800,7.12,1496.9320955
417200,LS머트리얼즈,21200,6.75,641.00098975
009540,HD한국조선해양,374000,6.7,906.48683
100090,SK오션플랜트,30150,6.35,2911.82995775
000660,SK하이닉스,882000,6.27,23164.08819
000250,삼천당제약,645000,5.91,3348.188065
272210,한화시스템,136200,5.42,2422.537068
043260,성호전자,46150,4.89,535.87456275
005930,삼성전자,186600,4.6,34161.466753
196170,알테오젠,368000,4.55,1523.750185
005935,삼성전자우,124000,4.55,2010.9426285
006360,GS건설,27350,4.39,625.14665125
267270,HD건설기계,146100,3.99,519.90069
017670,SK텔레콤,80900,3.98,502.8809215
034020,두산에너빌리티,97100,3.74,2312.8891325
010140,삼성중공업,27900,3.72,1147.5834485
001510,SK증권,1982,3.66,893.15193444
032820,우리기술,21400,3.63,2094.18222275
064350,현대로템,208500,3.47,1836.6582425
218410,RFHIC,89200,3.24,658.0514515
047040,대우건설,16970,3.22,5316.4947419
012450,한화에어로스페이스,1460000,3.03,2550.95426
069540,빛과전자,3280,2.98,770.79648235
006800,미래에셋증권,63400,2.92,1356.587646
066970,엘앤에프,166300,2.91,1651.968932
402340,SK스퀘어,482500,2.77,2016.3263825
005490,POSCO홀딩스,350000,2.64,1155.83202
036930,주성엔지니어링,62400,2.63,518.1302835
000720,현대건설,152700,2.62,1214.052036
008350,남선알미늄,1819,2.19,939.50164305
298040,효성중공업,2572000,2.14,646.66196
046970,우리로,7540,1.89,1554.83290375
005380,현대차,472000,1.4,2920.308945
024060,흥구석유,21950,1.39,2357.6006045
010120,LS ELECTRIC,769000,1.32,709.696305
353200,대덕전자,81200,1.12,712.7519255
035420,NAVER,198000,1.12,1208.8960195
007660,이수페타시스,102800,0.98,516.1265225
027360,아주IB투자,8860,0.91,708.20154835
051910,LG화학,304000,0.66,656.672075
352820,하이브,270000,0.56,724.154565
267260,HD현대일렉트릭,886000,0.45,681.49204
012330,현대모비스,391000,0.39,541.3251025
042700,한미반도체,257000,0.39,1043.386455
000270,기아,151100,0.33,655.2868005
065450,빅텍,6140,0.16,862.87543225
086520,에코프로,142500,0.07,1096.0529445
