종목코드,종목명,현재가,등락률,거래대금_억
037440,희림,7460,29.97,685.70984225
006345,대원전선우,16790,29.95,834.5652207
072950,빛샘전자,17060,29.93,1413.5934592
264850,이랜시스,8120,29.92,1540.23352965
017550,수산세보틱스,3860,23.92,2121.39316344
028050,삼성E&A,64400,21.51,8919.6837064
138080,오이솔루션,54000,21.08,2933.55957475
010170,대한광통신,21800,19.32,17206.07473755
041440,현대에버다임,10430,14.62,1287.3555994
178320,서진시스템,68100,14.45,3689.7789435
003010,혜인,7920,14.12,729.5598224
222800,심텍,106500,13.54,1944.667459
013310,아진산업,4270,12.81,632.14710228
078150,HB테크놀러지,4530,12.69,3098.4901987
100590,머큐리,9900,11.49,1331.16333395
042940,상지건설,11190,11.23,531.28578675
006360,GS건설,39350,11.0,1823.12885325
950160,코오롱티슈진,114600,10.62,1453.216525
381620,제닉스로보틱스,10600,10.42,665.040251
203650,드림시큐리티,4130,9.99,5726.15182914
079900,전진건설로봇,68400,9.09,800.8910045
161390,한국타이어앤테크놀로지,64700,8.74,516.638384
459510,나우로보틱스,30750,8.66,547.86714575
024840,KBI메탈,9300,8.01,3846.74408025
011790,SKC,174100,8.0,4707.4108578
028260,삼성물산,405000,7.86,4738.90410911
038060,루멘스,1710,7.82,502.96096476
375500,DL이앤씨,100300,7.73,1844.8109895
059120,아진엑스텍,12560,7.72,2049.38969165
007810,코리아써키트,102200,7.69,574.4940835
034020,두산에너빌리티,136400,7.4,10593.0507655
003490,대한항공,26350,7.33,1667.30388225
028670,팬오션,6030,7.3,762.55862355
329180,HD현대중공업,693000,6.94,5541.46209
004800,효성,276000,6.77,650.6619125
327260,RF머트리얼즈,119500,6.7,548.6717125
440110,파두,83800,6.35,1050.5437315
230240,에치에프알,37950,6.15,587.043804
036930,주성엔지니어링,135100,5.88,1866.8369945
010140,삼성중공업,33700,5.81,3334.31808525
005490,POSCO홀딩스,535000,5.73,4976.85196
115440,우리넷,16660,5.38,783.36712125
086280,현대글로비스,230500,4.77,796.5364875
218410,RFHIC,100800,4.56,830.580837
092790,넥스틸,21050,4.47,1003.069628
034730,SK,543000,4.42,1916.548655
046970,우리로,9210,4.3,790.64474365
058430,포스코스틸리온,8110,4.24,1770.24136375
054920,한컴위드,8170,4.08,1356.8753659
068270,셀트리온,202500,4.01,2178.643474
005380,현대차,572000,4.0,11954.68523
018260,삼성에스디에스,176600,3.88,745.1042425
443060,HD현대마린솔루션,269500,3.45,752.67017742
141080,리가켐바이오,182700,3.34,705.8596325
000660,SK하이닉스,1654000,3.31,94811.6401978
009540,HD한국조선해양,467500,3.31,1186.04336
307950,현대오토에버,455500,3.29,894.0935475
005290,동진쎄미켐,61000,3.21,1159.7772665
101170,우림피티에스,14590,3.18,912.2334028
047040,대우건설,33200,3.11,7762.80818275
257720,실리콘투,44800,3.11,535.6567085
247540,에코프로비엠,235500,3.06,2665.6884375
240810,원익IPS,132900,3.02,1341.4755085
043260,성호전자,41800,2.96,612.25445625
017900,광전자,10780,2.76,1052.44810785
086790,하나금융지주,128800,2.63,1182.090816
267270,HD건설기계,192600,2.61,842.687977
069540,빛과전자,5120,2.61,734.7495783
003670,포스코퓨처엠,296000,2.6,1962.102845
005387,현대차2우B,256500,2.4,563.72491
000720,현대건설,167400,2.26,2539.411046
267260,HD현대일렉트릭,1420000,2.23,3006.2443
050890,쏠리드,18850,2.22,3479.1188416
217590,티엠씨,32700,2.19,777.0396735
0011T0,채비,17540,2.15,3073.0598229
012330,현대모비스,441500,2.08,1673.3463125
005930,삼성전자,271500,2.07,111017.1915925
000810,삼성화재,490000,1.98,1887.50533002
000270,기아,157600,1.94,2488.578022
052690,한전기술,185400,1.87,569.133575
316140,우리금융지주,33200,1.84,1014.87878375
332570,PS일렉트로닉스,10090,1.82,738.5810574
033790,피노,17480,1.69,512.38950495
055550,신한지주,98900,1.64,1572.0164795
267250,HD현대,290000,1.58,501.2341725
083650,비에이치아이,100300,1.52,754.3965655
000150,두산,1817000,1.51,1254.02999
105560,KB금융,161200,1.45,2156.661403
082740,한화엔진,85500,1.18,1042.673386
010120,LS ELECTRIC,318500,0.95,6765.24908
062040,산일전기,322500,0.94,1606.77539
402340,SK스퀘어,1099000,0.92,12328.11252424
011070,LG이노텍,637000,0.79,1407.1369
032830,삼성생명,300000,0.67,1648.481475
009150,삼성전기,917000,0.55,6246.693875
051910,LG화학,425000,0.35,1676.9518475
105840,우진,28300,0.35,506.69080375
103590,일진전기,142600,0.28,834.820796
373220,LG에너지솔루션,483000,0.21,2202.236975
298040,효성중공업,4601000,0.09,3745.906012
