종목코드,종목명,현재가,등락률,거래대금_억
058610,에스피지,82600,25.15,1286.358449
277810,레인보우로보틱스,478500,16.28,2116.910055
000500,가온전선,209500,15.68,1077.106263
477850,마키나락스,22600,14.95,970.9440844
006360,GS건설,29100,13.67,1031.0024585
108490,로보티즈,219500,11.42,1082.7542625
475150,SK이터닉스,62000,10.91,8697.045273
017670,SK텔레콤,94100,10.58,1609.897285
024060,흥구석유,13710,10.3,676.63874235
090710,휴림로봇,6900,9.7,743.26758645
000150,두산,1215000,8.19,1283.28679
012330,현대모비스,513000,6.99,2758.086175
307950,현대오토에버,401500,6.64,726.1128525
204320,HL만도,46000,6.48,607.239791
454910,두산로보틱스,67600,5.79,1348.065285
413630,씨피시스템,3570,5.78,593.84079248
066570,LG전자,182700,5.48,3259.09798
003280,흥아해운,1967,5.19,576.55986078
000720,현대건설,98600,5.12,535.2077065
047810,한국항공우주,149300,4.77,533.83473
005380,현대차,418000,4.76,3728.19042
034730,SK,624000,4.7,1289.468305
009540,HD한국조선해양,353500,4.59,635.48318
319400,현대무벡스,19730,4.39,612.8570112
332570,PS일렉트로닉스,6930,4.21,520.40046205
298040,효성중공업,2679000,3.92,1028.2915
034020,두산에너빌리티,69200,3.59,2124.721528
001440,대한전선,27450,3.39,504.316448
064400,LG씨엔에스,64600,3.36,658.2204555
047040,대우건설,15270,3.18,635.9362689
028260,삼성물산,354000,3.06,1995.75294
329180,HD현대중공업,464500,2.88,1134.9719525
011070,LG이노텍,647000,2.86,1368.194805
006340,대원전선,12160,2.7,2445.35782605
009150,삼성전기,1345000,2.67,11455.6221451
086520,에코프로,77100,2.53,592.47364
042660,한화오션,83900,2.44,1377.0499295
010170,대한광통신,10090,2.33,822.57865805
005935,삼성전자우,185100,2.27,7346.9893115
267260,HD현대일렉트릭,795000,2.19,763.68702
009830,한화솔루션,27150,2.07,567.68300375
035420,NAVER,196900,2.02,1795.9104025
000810,삼성화재,630000,1.94,511.898935
096770,SK이노베이션,118400,1.81,963.098812
064350,현대로템,155800,1.76,593.5638285
010140,삼성중공업,21600,1.65,652.72203325
000270,기아,146800,1.52,1168.994808
032830,삼성생명,320000,1.27,1138.15163
002990,금호건설,10420,1.26,835.9636826
373220,LG에너지솔루션,321000,1.26,711.1131525
001820,삼화콘덴서,86400,1.17,549.3371955
006800,미래에셋증권,37600,0.94,564.8342785
010120,LS ELECTRIC,190600,0.79,1390.969973
105560,KB금융,175100,0.63,1491.997259
006400,삼성SDI,419000,0.6,1375.90718
005930,삼성전자,260500,0.58,60210.00636074
035720,카카오,35500,0.57,628.6158195
010950,S-Oil,141700,0.07,562.309052
