종목코드,종목명,현재가,등락률,거래대금_억
048410,현대바이오,8110,29.97,729.8549538
340810,시선AI,4215,29.89,609.95846934
054920,한컴위드,6330,29.85,827.75442801
078160,메디포스트,23450,29.77,541.78609445
079370,제우스,20450,28.13,1580.51766615
417010,나노팀,10510,22.21,1055.77175905
006220,제주은행,14450,20.42,1115.21216625
0004V0,엔비알모션,18350,18.46,1631.57162885
130660,한전산업,14510,18.26,1873.30791185
067310,하나마이크론,33000,16.81,3589.77157475
187660,현대ADM,3215,16.27,741.2114202
017670,SK텔레콤,69400,12.3,3654.5104565
082800,비보존 제약,5700,12.2,544.52184337
039490,키움증권,393000,9.62,715.59895
060250,NHN KCP,22350,9.29,3348.0994533
058470,리노공업,82200,9.16,1465.7772975
222080,씨아이에스,11480,8.3,1367.1922271
036930,주성엔지니어링,36200,8.06,845.651034
000660,SK하이닉스,794000,7.88,35010.23088
010120,LS ELECTRIC,540000,7.78,3202.69913
009470,삼화전기,43500,7.67,545.0436815
240810,원익IPS,91500,7.39,1009.468947
402340,SK스퀘어,473500,7.37,2286.5295725
105840,우진,25800,7.28,923.9514745
003530,한화투자증권,6030,7.1,1320.482226
097230,HJ중공업,27100,6.9,1865.5428125
089030,테크윙,41050,6.62,626.66113925
382840,원준,10590,6.22,801.15780805
101490,에스앤에스텍,74200,6.0,504.725525
457190,이수스페셜티케미컬,105000,5.95,1268.2474085
086520,에코프로,137800,5.84,14289.5919615
105560,KB금융,143200,5.68,1220.629477
028300,HLB,66500,5.39,1300.6006705
006800,미래에셋증권,35050,5.26,1891.4842675
000250,삼천당제약,412000,5.24,2036.82672
950160,코오롱티슈진,98500,4.9,984.1464485
028050,삼성E&A,30250,4.85,655.584802
055550,신한지주,86300,4.73,1108.045808
290650,엘앤씨바이오,67900,4.62,569.0703725
439260,대한조선,73200,4.57,623.4055125
388720,유일로보틱스,140900,4.37,1574.833312
403870,HPSP,37400,4.32,1052.89896625
082740,한화엔진,55400,4.14,518.781743
259960,크래프톤,266000,4.11,798.2432325
478340,나라스페이스테크놀로지,48950,3.93,1345.491066
035420,NAVER,283000,3.85,13284.398215
086790,하나금융지주,105100,3.85,550.3347775
267260,HD현대일렉트릭,905000,3.78,1314.0891
141080,리가켐바이오,192300,3.61,1492.3501075
005930,삼성전자,157400,3.48,34872.624885
083650,비에이치아이,70300,3.23,1412.148614
051600,한전KPS,58600,2.81,677.54031
042700,한미반도체,174100,2.71,2173.2701275
108490,로보티즈,287000,2.32,2512.9963475
307950,현대오토에버,443500,2.31,1073.18272
080220,제주반도체,31400,2.28,794.563343
347700,스피어,23050,2.22,580.59511325
087010,펩트론,286000,2.14,1005.98864
039030,이오테크닉스,329500,2.01,632.2605075
298040,효성중공업,2389000,1.92,1789.57598
226950,올릭스,150000,1.83,906.06962
005935,삼성전자우,112900,1.8,3477.353088
032820,우리기술,8620,1.77,3438.323003
018260,삼성에스디에스,175200,1.74,541.511422
247540,에코프로비엠,212500,1.67,3452.0398475
052690,한전기술,136200,1.57,2650.896827
034020,두산에너빌리티,93200,1.53,5871.1007065
347850,디앤디파마텍,97800,1.14,1071.587328
066970,엘앤에프,127200,1.11,886.135289
090710,휴림로봇,14970,1.01,4277.89798945
010140,삼성중공업,30200,1.0,1330.26497325
010130,고려아연,1824000,0.94,1035.092265
140410,메지온,154400,0.92,740.2311875
000150,두산,898000,0.9,658.29941
058610,에스피지,120900,0.75,1201.491266
204320,HL만도,64900,0.62,621.9670785
042660,한화오션,140600,0.57,2033.151532
001440,대한전선,26750,0.56,521.83069075
098460,고영,31800,0.47,1054.7079055
009540,HD한국조선해양,426000,0.47,568.3853725
003670,포스코퓨처엠,229500,0.44,1247.7704475
064400,LG씨엔에스,72000,0.42,1059.6664535
298380,에이비엘바이오,242000,0.41,4193.7009425
281740,레이크머티리얼즈,24750,0.41,801.7883185
006400,삼성SDI,388000,0.26,6358.3558
491000,리브스메드,81000,0.25,1849.390152
006910,보성파워텍,8210,0.24,1127.6308628
015760,한국전력,60500,0.17,2401.3565375
035720,카카오,61900,0.16,2213.515962
466100,클로봇,71300,0.14,563.0259045
196170,알테오젠,406500,0.12,3705.477165
