종목코드,종목명,현재가,등락률,거래대금_억
950260,인제니아테라퓨틱스(Reg.S),18330,30.0,2964.21150735
001210,금호전기,7460,29.97,592.1340326
002990,금호건설,15790,25.32,3752.563402
387690,레메디,15430,20.08,841.6251361
476830,알지노믹스,36950,16.93,642.3628425
079650,서산,5300,14.47,627.25421143
000660,SK하이닉스,1696000,13.07,79561.489025
237690,에스티팜,111300,12.08,1523.044742
402340,SK스퀘어,1122000,11.75,8386.924555
196170,알테오젠,339000,11.7,3252.0412675
332570,PS일렉트로닉스,9500,10.47,737.0490863
005935,삼성전자우,191800,10.42,6483.0732655
064260,다날,5110,10.01,852.20905444
005930,삼성전자,269500,8.89,58059.29451
010130,고려아연,1244500,8.69,662.588815
161890,한국콜마,138400,8.29,520.663805
016360,삼성증권,92000,8.24,903.6019955
028260,삼성물산,375500,8.21,1567.8159625
032830,삼성생명,297000,7.61,1568.92089
322000,HD현대에너지솔루션,139200,7.57,622.900073
003230,삼양식품,1395000,6.98,1313.96491
035420,NAVER,220500,6.01,1924.3849075
214450,파마리서치,414000,5.88,617.6051125
403870,HPSP,48150,5.36,2431.42295675
005690,파미셀,11940,4.92,1246.13564075
010060,OCI홀딩스,290500,4.68,997.9558825
477850,마키나락스,27700,4.53,694.216893
080220,제주반도체,76800,4.35,830.296146
222800,심텍,114900,3.79,627.0815365
240810,원익IPS,113400,3.75,552.2302515
035720,카카오,38650,3.34,754.5201295
034730,SK,569000,3.27,953.044625
036930,주성엔지니어링,177200,3.26,1301.654193
006400,삼성SDI,502000,3.08,1783.0296
042700,한미반도체,225500,2.04,1283.2116825
006360,GS건설,35600,1.86,786.1090525
207940,삼성바이오로직스,1570000,1.68,851.34947
257720,실리콘투,46050,1.66,584.47844775
009830,한화솔루션,35225,1.66,945.90493575
005490,POSCO홀딩스,323500,1.09,586.30205
009150,삼성전기,1401000,1.01,10015.188675
005380,현대차,417500,0.85,1565.5956575
007660,이수페타시스,105100,0.67,616.43072
067310,하나마이크론,36800,0.55,534.89331825
066570,LG전자,202500,0.5,1012.9607175
373220,LG에너지솔루션,359000,0.42,885.9091
278470,에이피알,385000,0.39,1272.0753125
068270,셀트리온,194600,0.26,836.941449
329180,HD현대중공업,474500,0.11,691.876315
