종목코드,종목명,현재가,등락률,거래대금_억
234340,헥토파이낸셜,19500,30.0,1112.975034
064260,다날,8900,29.93,4939.8690596
377300,카카오페이,67700,29.69,7417.4594855
060250,NHN KCP,18350,28.95,2040.2756953
462860,더즌,4700,27.54,1076.89485495
124500,아이티센글로벌,41350,23.43,767.0874605
340930,유일에너테크,1567,21.28,702.00060134
158430,아톤,7350,20.1,620.14613885
094480,갤럭시아머니트리,10860,18.43,520.3272782
237690,에스티팜,141900,18.15,1502.524051
347700,스피어,22550,17.14,1622.7839104
417010,나노팀,8790,16.27,636.3093569
000250,삼천당제약,365250,15.4,5172.5704475
006800,미래에셋증권,34325,14.99,7000.12217325
264850,이랜시스,8255,12.62,926.76075355
464080,에스오에스랩,24975,12.5,1941.6070225
388720,유일로보틱스,106400,12.0,1231.2018115
141080,리가켐바이오,163800,10.9,1053.9808125
003530,한화투자증권,5420,10.39,691.2811628
298380,에이비엘바이오,197500,9.97,2919.2050465
032940,원익,13875,9.51,523.18120695
476830,알지노믹스,150900,9.27,950.7929325
028050,삼성E&A,27000,8.65,757.14616075
452260,한화갤러리아,1939,8.63,954.98551015
347850,디앤디파마텍,86000,8.45,839.7540185
323410,카카오뱅크,23150,8.18,1122.3678095
128940,한미약품,465000,8.01,1243.61716
028300,HLB,57400,7.89,1051.3145045
277810,레인보우로보틱스,539000,7.58,3127.12434
064400,LG씨엔에스,73100,7.5,3817.80307
035420,NAVER,263500,7.33,12129.4143225
950160,코오롱티슈진,83300,7.07,601.3849975
226950,올릭스,127200,6.98,639.4854115
491000,리브스메드,63000,6.78,819.6508485
007660,이수페타시스,120400,6.45,1760.6572605
083650,비에이치아이,66700,6.21,1227.1393545
009830,한화솔루션,29725,5.78,1096.14655625
087010,펩트론,253000,5.64,721.18071
000150,두산,949000,5.44,1792.680045
101670,하이드로리튬,2505,5.25,758.84571064
039490,키움증권,343000,5.05,745.81317
090430,아모레퍼시픽,133100,5.05,829.861687
071050,한국금융지주,195700,4.88,759.507063
000720,현대건설,109000,4.81,4981.791444
034020,두산에너빌리티,94200,4.67,6843.483529
035720,카카오,60700,3.94,3811.9550835
047040,대우건설,5160,3.82,906.8776818
196170,알테오젠,383500,3.65,6090.5665975
000880,한화,119000,3.48,599.018903
000100,유한양행,108400,3.44,520.7825815
214450,파마리서치,471000,3.29,813.7174175
108490,로보티즈,253500,3.26,924.1567125
028260,삼성물산,307000,3.19,970.95535
352820,하이브,380000,3.12,1758.8199575
032830,삼성생명,184000,2.91,771.4322505
018260,삼성에스디에스,173500,2.54,660.4662385
016360,삼성증권,85800,2.39,562.7885815
010660,화천기계,5920,2.07,999.8725937
010130,고려아연,1587000,2.06,919.80769
272210,한화시스템,90100,2.04,2183.140218
052690,한전기술,139400,1.98,577.858371
0115H0,삼성스팩13호,5140,1.98,740.27439195
068270,셀트리온,212000,1.92,1191.564195
006910,보성파워텍,8010,1.91,1206.2790589
009540,HD한국조선해양,432500,1.88,924.14014
329180,HD현대중공업,624000,1.79,1049.985055
011500,한농화성,23250,1.75,740.48517625
034730,SK,296500,1.72,543.8140925
0015S0,페스카로,22600,1.57,1167.38977425
042660,한화오션,139600,1.38,5289.389227
207940,삼성바이오로직스,1802000,1.35,882.68
017670,SK텔레콤,62500,1.3,605.4921275
051910,LG화학,354500,1.14,1677.803485
005490,POSCO홀딩스,363500,1.11,5543.12637
451760,컨텍,20625,1.1,501.92170525
047050,포스코인터내셔널,63300,0.96,574.9349605
098460,고영,29300,0.86,678.28508075
010140,삼성중공업,30300,0.66,1338.439003
055550,신한지주,83300,0.48,1001.285896
090710,휴림로봇,21600,0.47,14691.802585
105560,KB금융,135300,0.45,806.9332825
012330,현대모비스,455500,0.44,2551.2405825
003230,삼양식품,1240000,0.4,515.250985
086790,하나금융지주,100800,0.3,514.234279
000660,SK하이닉스,757000,0.26,17460.82686
005930,삼성전자,152700,0.26,31311.506249
454910,두산로보틱스,115700,0.26,1056.897121
064350,현대로템,207000,0.24,1117.651885
267260,HD현대일렉트릭,890000,0.23,1150.6352
042700,한미반도체,170700,0.18,946.1817255
