종목코드,종목명,현재가,등락률,거래대금_억
161000,애경케미칼,14820,30.0,1758.25136235
425040,티이엠씨,12970,29.96,2234.04378725
037030,파워넷,6200,18.1,2881.8933754
053690,한미글로벌,30500,16.86,1160.0496715
006890,태경케미컬,10680,16.34,919.75820775
263750,펄어비스,67600,14.97,3695.2694025
033790,피노,8330,14.9,1651.5080526
137950,제이씨케미칼,5350,14.19,754.30902273
475150,SK이터닉스,57900,10.5,2221.663703
322000,HD현대에너지솔루션,135100,9.66,3759.9864425
452300,캡스톤파트너스,4385,9.35,1392.63228776
0088M0,메쥬,43950,9.06,1726.05487875
046970,우리로,8350,8.16,5413.8289917
082920,비츠로셀,37150,6.91,665.815746
000250,삼천당제약,1184000,6.57,4194.30488
010060,OCI홀딩스,190300,6.43,637.4241215
092220,KEC,1917,6.32,838.58420643
038110,에코플라스틱,4300,5.26,1821.61444779
375500,DL이앤씨,69200,5.17,1039.495872
376900,로킷헬스케어,129700,4.6,1467.263043
011930,신성이엔지,2670,4.09,613.7458126
373220,LG에너지솔루션,410000,3.93,3038.548805
003280,흥아해운,3065,3.9,2577.58830064
024060,흥구석유,20550,3.11,929.05987325
051910,LG화학,322000,2.88,1241.145165
009830,한화솔루션,36600,2.66,2274.94955925
003670,포스코퓨처엠,214500,2.63,1248.592595
476830,알지노믹스,236000,2.39,1319.78613
096770,SK이노베이션,113400,1.8,556.339598
006400,삼성SDI,412500,1.73,3007.01828
047050,포스코인터내셔널,75400,1.21,507.410243
000810,삼성화재,445500,0.56,561.551115
247540,에코프로비엠,203500,0.49,819.731961
047040,대우건설,17340,0.46,5124.4682749
066970,엘앤에프,155900,0.39,2425.508203
028300,HLB,53500,0.38,620.178727
