종목코드,종목명,현재가,등락률,거래대금_억
0039P0,매드업,8930,17.5,507.9383886
189330,씨이랩,14480,14.74,599.39898565
002990,금호건설,15940,13.86,1502.88403415
477850,마키나락스,29950,10.52,1053.20138725
365660,레몬헬스케어,11190,9.81,575.18733585
036930,주성엔지니어링,174800,9.25,1864.0250905
347850,디앤디파마텍,89600,9.0,844.1092865
042700,한미반도체,217000,8.94,1028.147745
080220,제주반도체,81600,8.22,717.7157555
000660,SK하이닉스,2238000,7.8,43906.495245
010170,대한광통신,11080,7.16,731.06565235
403870,HPSP,40850,6.8,573.90563025
402340,SK스퀘어,1343000,5.75,4162.8198
240810,원익IPS,108400,5.55,740.0302035
024060,흥구석유,10980,5.17,546.4366932
010120,LS ELECTRIC,192800,5.07,1096.2750395
298040,효성중공업,2818000,4.8,714.783635
086520,에코프로,81500,4.49,550.981937
373220,LG에너지솔루션,326500,3.49,557.8702175
034730,SK,616000,3.36,719.792745
005935,삼성전자우,192400,2.94,2190.6958915
005930,삼성전자,285000,2.7,26082.5859175
034020,두산에너빌리티,76000,2.7,923.039303
009150,삼성전기,1518000,2.64,5634.583995
058730,다스코,5320,2.31,1071.14691975
267260,HD현대일렉트릭,826000,1.47,796.36925
042660,한화오션,83200,1.46,1463.1387625
329180,HD현대중공업,523000,1.16,669.553505
105560,KB금융,172900,1.11,762.1266685
028260,삼성물산,397000,0.51,1192.6137875
