종목코드,종목명,현재가,등락률,거래대금_억
476060,온코닉테라퓨틱스,18030,22.07,1120.94982055
032940,원익,8000,19.4,780.51119015
001210,금호전기,12480,16.85,3411.2154015
387690,레메디,14560,14.2,810.2065543
067290,JW신약,2300,9.52,789.08214804
066970,엘앤에프,146700,8.83,1509.531049
003670,포스코퓨처엠,200500,7.62,1588.924064
066570,LG전자,216500,7.44,2937.314592
096770,SK이노베이션,125500,7.36,2385.8066325
108490,로보티즈,257500,6.4,524.0071325
222800,심텍,129300,5.29,1033.955168
011070,LG이노텍,642000,5.07,10059.49619
353200,대덕전자,112700,4.74,905.072131
0126Z0,삼성에피스홀딩스,387000,3.61,3036.70586
024840,KBI메탈,5940,3.3,639.62560285
000500,가온전선,210000,2.94,939.672627
003550,LG,119400,2.67,1155.5346975
009150,삼성전기,1458000,2.6,12708.08009666
000270,기아,131000,2.34,1318.678202
001820,삼화콘덴서,112700,2.27,533.150453
247540,에코프로비엠,120800,2.2,633.7235935
373220,LG에너지솔루션,378000,2.16,1592.296875
207940,삼성바이오로직스,1518000,2.15,1305.78189
000150,두산,1263000,2.02,1428.7553
259960,크래프톤,227000,2.02,504.0786025
080220,제주반도체,78200,1.96,1197.384449
047050,포스코인터내셔널,53700,1.9,2944.5073955
064400,LG씨엔에스,77200,1.85,614.0586095
257720,실리콘투,54200,1.69,587.832898
000660,SK하이닉스,1674000,1.27,65175.55966
086520,에코프로,91300,1.22,813.9717985
005930,삼성전자,260000,1.17,46470.38997556
051910,LG화학,280000,1.08,558.56148
007660,이수페타시스,114000,1.06,562.230277
006400,삼성SDI,577000,1.05,4765.658125
033780,KT&G,178100,1.02,804.46009
005380,현대차,403500,1.0,2506.35247
105560,KB금융,173300,0.99,5246.5501905
402340,SK스퀘어,1037000,0.88,6624.75218592
012330,현대모비스,453500,0.67,2219.49421
278470,에이피알,464500,0.65,1198.1834775
010950,S-Oil,150100,0.6,926.50951
042700,한미반도체,220500,0.46,1691.9452075
028260,삼성물산,376500,0.4,1158.52110628
034730,SK,545000,0.37,1405.713915
005490,POSCO홀딩스,338500,0.3,795.55328
086790,하나금융지주,136300,0.22,1820.464085
138040,메리츠금융지주,122200,0.16,564.9339105
036930,주성엔지니어링,177000,0.11,1076.757486
