종목코드,종목명,현재가,등락률,거래대금_억
0011T0,채비,22550,83.33,29080.4278361
199820,제일일렉트릭,16640,30.0,1336.0873382
006340,대원전선,13090,29.99,10485.98654335
126340,비나텍,183400,29.98,1273.8092945
488280,에스투더블유,26100,25.78,669.41740275
229640,LS에코에너지,90900,25.03,1371.7750555
011170,롯데케미칼,118000,24.87,1746.587579
005950,이수화학,11850,20.92,1391.4936399
475430,키스트론,5860,20.08,826.57509886
417200,LS머트리얼즈,31250,16.39,5984.279257
0001A0,덕양에너젠,19500,14.04,1016.3242957
010950,S-Oil,134300,13.14,2307.9120545
096770,SK이노베이션,149800,12.63,4461.0011465
077970,STX엔진,66500,12.52,1248.5119005
382800,지앤비에스 에코,8860,11.87,859.75753155
125020,티씨머티리얼즈,7300,11.62,871.56098395
001440,대한전선,51200,11.55,14976.540185
336260,두산퓨얼셀,58600,11.41,1339.0436865
147830,제룡산업,11180,11.13,1491.2565287
178320,서진시스템,56700,10.53,3098.5241275
017510,세명전기,14080,10.43,1666.61482535
033100,제룡전기,66100,10.35,790.7524825
001820,삼화콘덴서,71000,9.57,626.000758
322000,HD현대에너지솔루션,215500,9.11,4804.232257
082740,한화엔진,87700,8.14,2204.766345
064350,현대로템,264000,7.98,4247.2097025
267250,HD현대,301000,7.31,1011.1253575
475150,SK이터닉스,59000,7.27,2065.2661655
103590,일진전기,119600,7.17,1180.164778
005010,휴스틸,7120,5.64,951.40987765
353200,대덕전자,115400,5.58,1026.9595325
043260,성호전자,43800,5.54,964.314858
267320,나인테크,3630,5.52,743.30458505
098460,고영,41950,5.01,6309.65386
006400,삼성SDI,712000,4.71,8915.82704
010120,LS ELECTRIC,273000,4.4,4403.0961075
038500,삼표시멘트,16900,4.39,959.7315153
006260,LS,418500,3.98,899.109875
079550,LIG디펜스앤에어로스페이스,968000,3.75,3058.589975
036570,NC,277500,3.74,825.683985
004020,현대제철,45750,3.74,1160.58073925
329180,HD현대중공업,690000,3.45,4455.105405
051910,LG화학,407500,3.43,1676.5630575
071970,HD현대마린엔진,109700,3.39,584.3879285
006910,보성파워텍,12430,3.24,1340.27820705
222800,심텍,89300,3.24,586.3930555
042370,비츠로테크,17370,3.09,547.38200665
095340,ISC,244000,2.74,530.91878
034730,SK,425000,2.66,801.74242
011070,LG이노텍,592000,2.6,1445.082085
000250,삼천당제약,443000,2.55,586.35229
222080,씨아이에스,18650,2.47,2379.4228801
402340,SK스퀘어,830000,2.34,7109.00989228
003230,삼양식품,1314000,2.26,553.65147
005935,삼성전자우,163500,2.19,6283.9096025
454910,두산로보틱스,102200,2.1,672.370002
066970,엘앤에프,209000,1.95,753.826635
298380,에이비엘바이오,142000,1.87,908.363402
005930,삼성전자,226000,1.8,45390.21434216
012450,한화에어로스페이스,1420000,1.79,1569.066
267260,HD현대일렉트릭,1260000,1.78,2161.97512
086280,현대글로비스,238500,1.71,720.062885
004430,송원산업,14800,1.65,543.6167145
131970,두산테스나,131900,1.62,540.414674
375500,DL이앤씨,101100,1.2,760.3808985
092790,넥스틸,21850,1.16,656.29577725
105560,KB금융,160600,1.13,1622.9548475
034020,두산에너빌리티,129200,1.1,4246.7825595
010060,OCI홀딩스,371500,1.09,985.85506
267270,HD건설기계,196000,1.03,764.871222
196170,알테오젠,380000,0.93,1156.4301825
000720,현대건설,168600,0.9,1389.779196
067310,하나마이크론,40150,0.88,534.0687675
090710,휴림로봇,12910,0.86,1117.7428477
000270,기아,156900,0.84,1133.9853469
009540,HD한국조선해양,472000,0.75,846.8587375
058470,리노공업,112100,0.63,962.7455355
108490,로보티즈,328500,0.61,1381.3823875
005490,POSCO홀딩스,469000,0.54,2816.3650075
035420,NAVER,220000,0.23,1493.7222075
032820,우리기술,22300,0.22,1163.61192775
373220,LG에너지솔루션,473000,0.21,1442.823875
005380,현대차,556000,0.18,5379.06653
298040,효성중공업,3982000,0.15,1931.957595
055550,신한지주,100000,0.1,1563.31372972
086790,하나금융지주,127100,0.08,1332.241406
