종목코드,종목명,현재가,등락률,거래대금_억
0115H0,삼성스팩13호,7200,260.0,4966.37788417
076610,해성옵틱스,1517,29.99,679.2564367
298020,효성티앤씨,379500,29.97,736.563835
077360,덕산하이메탈,7550,29.95,745.82884315
215100,로보로보,11770,29.91,2052.1705186
005850,에스엘,64800,29.86,1088.88837775
090710,휴림로봇,21500,29.13,13196.8199109
009470,삼화전기,39350,28.59,875.89545025
250060,모비스,7480,28.3,1071.2557105
348340,뉴로메카,115000,23.13,6367.032833
319400,현대무벡스,46350,19.0,6137.406598
092790,넥스틸,12290,18.17,750.7726721
368770,파이버프로,18430,17.76,584.99350235
199430,케이엔알시스템,40450,17.76,751.65259225
005380,현대차,549000,14.61,40514.9621095
307180,아이엘,4560,14.43,587.36056398
060280,큐렉소,17060,14.27,1873.3634394
478340,나라스페이스테크놀로지,53100,13.83,4672.627896
147830,제룡산업,8180,12.36,814.373164
204320,HL만도,71400,12.26,4728.725707
160190,하이젠알앤엠,72900,11.98,1413.3610555
011700,한신기계,4750,11.63,1820.55393284
332570,PS일렉트로닉스,8040,11.2,763.3110269
099440,스맥,7200,10.6,1498.8055134
389500,에스비비테크,80800,10.53,1469.210881
140670,알에스오토메이션,22700,9.4,571.8009142
005387,현대차2우B,318000,9.09,2193.2993225
257720,실리콘투,47650,9.04,1462.55081125
056080,유진로봇,34200,8.92,4532.060988
094940,푸른기술,12830,8.91,751.07606035
012330,현대모비스,487500,8.09,5701.0980375
232680,라온테크,17500,8.02,531.23695895
047310,파워로직스,6180,7.48,701.63072845
317830,에스피시스템스,15570,7.38,901.89020615
011210,현대위아,93700,7.21,1099.612857
005385,현대차우,304000,7.04,1772.03842
032820,우리기술,8540,7.02,7274.3469121
000990,DB하이텍,90300,6.61,722.4608975
455900,엔젤로보틱스,38750,5.87,770.802146
457190,이수스페셜티케미컬,88000,5.39,2081.100506
099320,쎄트렉아이,142000,5.34,701.7068475
000270,기아,172100,5.0,6998.53931885
464080,에스오에스랩,22600,4.39,712.937518
058610,에스피지,110800,4.14,2152.906621
066570,LG전자,109300,4.1,2690.5088565
105840,우진,26200,3.97,921.26176625
307950,현대오토에버,485000,3.97,3351.34494
278470,에이피알,256500,3.85,1714.220845
015760,한국전력,67900,3.82,8266.20216
240810,원익IPS,77200,3.21,656.8463805
005935,삼성전자우,110400,3.08,5256.195226
005930,삼성전자,149500,2.96,46796.1235903
105560,KB금융,136800,2.78,1374.905669
022100,포스코DX,42850,2.76,3123.863288
211270,AP위성,17930,2.75,975.10304695
0015G0,그린광학,37550,2.74,4547.3517045
006910,보성파워텍,8010,2.69,4774.11631915
090360,로보스타,90900,2.6,895.3883035
454910,두산로보틱스,120800,2.29,4350.354453
010130,고려아연,1657000,2.22,1345.725515
000250,삼천당제약,280500,2.0,1012.80105
049630,재영솔루텍,7200,1.98,716.0824043
316140,우리금융지주,28850,1.58,588.40099425
117730,티로보틱스,28800,1.41,809.9059715
474170,루미르,13680,1.03,652.0675411
028260,삼성물산,299000,1.01,835.902785
064400,LG씨엔에스,70500,1.0,1065.463063
086280,현대글로비스,262000,0.96,2819.2195775
000720,현대건설,108500,0.84,2033.2156355
214450,파마리서치,428000,0.82,951.7968375
402340,SK스퀘어,430000,0.7,1742.7427875
451760,컨텍,18100,0.61,857.14771965
012450,한화에어로스페이스,1315000,0.46,3437.469045
125490,한라캐스트,19990,0.45,567.71966565
217500,러셀,5130,0.39,578.81916802
042700,한미반도체,172200,0.06,1717.335505
