종목코드,종목명,현재가,등락률,거래대금_억
0130H0,엔에이치스팩33호,2660,33.0,9986.86575488
289080,SV인베스트먼트,4550,30.0,573.8086263
049080,기가레인,1079,30.0,617.01569722
046970,우리로,7720,29.97,1892.83099125
217730,강스템바이오텍,3585,29.89,661.90176947
037030,파워넷,5250,29.79,830.76841018
161000,애경케미칼,11400,22.58,527.65692065
012690,모나리자,2465,16.55,506.85343896
402490,그린리소스,15410,16.21,691.8313957
263750,펄어비스,58800,15.75,4893.1801835
100790,미래에셋벤처투자,32550,15.22,7042.75910825
475580,에이럭스,14000,13.73,569.2736097
008770,호텔신라,47450,13.11,604.015175
241520,DSC인베스트먼트,14960,10.73,908.3922237
047040,대우건설,17260,8.55,9073.04094835
131970,두산테스나,108300,8.3,686.787467
066970,엘앤에프,155300,7.47,2879.135276
115440,우리넷,13790,7.23,2343.47924925
028300,HLB,53300,6.71,529.76580925
950160,코오롱티슈진,127000,6.01,1567.257528
326030,SK바이오팜,100300,5.91,510.395755
011070,LG이노텍,320500,5.78,1456.949335
278470,에이피알,327000,5.48,721.43047
259960,크래프톤,254500,5.38,647.209725
215790,이노인스트루먼트,895,5.05,545.00404272
450080,에코프로머티,73400,5.01,1394.595936
340440,세림B&G,2260,4.63,826.57293424
003670,포스코퓨처엠,209000,4.5,912.647535
007810,코리아써키트,84000,4.09,526.285954
027360,아주IB투자,9240,3.59,2061.549232
141080,리가켐바이오,213500,3.39,857.3418975
0088M0,메쥬,40300,3.33,1199.76618325
069540,빛과전자,3140,3.12,1275.2879229
003000,부광약품,9600,2.89,968.4755368
006800,미래에셋증권,67100,2.76,1939.520029
373220,LG에너지솔루션,394500,2.6,1431.6697025
012330,현대모비스,408500,2.51,1201.8042875
017900,광전자,3250,2.36,978.05622569
440110,파두,52400,2.34,663.32387475
006400,삼성SDI,405500,2.27,2598.2492675
086520,에코프로,149000,2.05,2137.8587125
033790,피노,7250,1.83,1604.4296265
247540,에코프로비엠,202500,1.81,987.320972
058470,리노공업,104900,1.65,536.8981765
277810,레인보우로보틱스,567000,1.61,1138.15517
347700,스피어,50900,1.6,576.4319085
476830,알지노믹스,230500,1.54,660.4397025
068270,셀트리온,206000,1.48,952.786078
086790,하나금융지주,110400,1.47,924.751201
003490,대한항공,25300,1.4,556.223056
060280,큐렉소,17460,1.16,571.5127316
005380,현대차,495000,1.02,5435.2842075
352820,하이브,307000,0.99,635.3614875
000270,기아,155800,0.71,1275.8970015
028050,삼성E&A,33100,0.61,573.385494
035420,NAVER,212500,0.47,922.040265
032830,삼성생명,223000,0.45,684.18985
089030,테크윙,52000,0.39,552.467726
035720,카카오,48800,0.31,610.24342525
226950,올릭스,200500,0.25,669.2746745
005490,POSCO홀딩스,343000,0.15,927.526605
298380,에이비엘바이오,180100,0.11,669.573824
055550,신한지주,93500,0.11,1258.146835
