종목코드,종목명,현재가,등락률,거래대금_억
017900,광전자,7810,15.02,1744.88041085
347700,스피어,23050,14.96,716.923535
066970,엘앤에프,90200,13.03,1151.5376335
010060,OCI홀딩스,272500,11.68,2941.362015
009830,한화솔루션,33900,11.51,6898.21090225
096770,SK이노베이션,120300,10.77,1467.4647275
010950,S-Oil,137600,10.17,764.9198025
039980,폴라리스AI,6470,9.48,606.52174035
387690,레메디,10530,8.11,649.89649715
006400,삼성SDI,459000,7.49,3126.7777953
011780,금호석유화학,129600,6.49,507.064082
003230,삼양식품,1306000,5.92,814.69554
051910,LG화학,276000,5.75,543.07198
003670,포스코퓨처엠,155800,5.63,1509.4714955
066570,LG전자,185000,5.59,2653.4735
079550,LIG디펜스앤에어로스페이스,741000,5.56,940.544505
463020,뉴엔AI,11850,4.77,1102.3379544
298040,효성중공업,2832000,4.58,1529.72758
264850,이랜시스,6550,4.47,904.95244595
247540,에코프로비엠,107000,4.39,531.3355295
373220,LG에너지솔루션,360000,4.35,1513.1280775
353200,대덕전자,103800,4.32,703.18209
035720,카카오,39900,4.18,1568.64356625
012450,한화에어로스페이스,1097000,4.08,1749.10949
009150,삼성전기,1278000,3.99,11377.08272
196170,알테오젠,305000,3.92,1462.14411
316140,우리금융지주,34800,3.88,818.747525
222800,심텍,110000,3.77,1140.189753
005490,POSCO홀딩스,331000,3.76,1050.28786
010170,대한광통신,11460,3.52,2087.32426495
033780,KT&G,188800,3.34,670.8481742
069540,빛과전자,3005,3.26,1357.21619392
347850,디앤디파마텍,57500,3.23,634.6696685
051900,LG생활건강,333500,2.93,603.78612
090430,아모레퍼시픽,141800,2.9,607.844515
086520,에코프로,86000,2.87,1361.330396
207940,삼성바이오로직스,1556000,2.77,793.45253
047810,한국항공우주,154200,2.73,805.728126
105560,KB금융,175800,2.51,1399.2033365
055550,신한지주,110000,2.42,1515.5742545
119850,지엔씨에너지,52300,2.35,666.1822765
068270,셀트리온,199300,2.21,1534.382298
092790,넥스틸,12300,1.91,548.74380415
278470,에이피알,384500,1.72,1076.99469
080220,제주반도체,75400,1.48,950.4764785
086790,하나금융지주,134700,1.05,769.1965455
000270,기아,134900,0.97,1179.85911654
034020,두산에너빌리티,77100,0.92,1222.6289895
028260,삼성물산,336500,0.75,889.7091825
064400,LG씨엔에스,72600,0.69,638.284551
000150,두산,1191000,0.25,518.257785
005930,삼성전자,231000,0.22,47915.80972001
267260,HD현대일렉트릭,762000,0.13,1119.46337
