종목코드,종목명,현재가,등락률,거래대금_억
0007J0,인벤테라,35800,115.66,16070.51734875
0132G0,교보20호스팩,2915,45.75,6018.36561341
049080,기가레인,2045,29.92,1383.98281302
065450,빅텍,6260,29.88,2085.6507403
003280,흥아해운,4750,28.03,12418.73956869
340440,세림B&G,2095,23.74,710.0546144
024060,흥구석유,22600,22.69,3924.3983997
137950,제이씨케미칼,5580,18.6,511.50364287
033790,피노,9040,15.31,1482.8707712
004090,한국석유,17650,9.97,1068.0408447
038110,에코플라스틱,4005,8.39,1798.21196402
066970,엘앤에프,159000,7.87,4607.3998025
214370,케어젠,103300,7.38,501.7133775
008350,남선알미늄,1750,7.23,3194.29854316
368770,파이버프로,23500,6.09,1132.114337
322000,HD현대에너지솔루션,144900,6.08,3854.7026935
005010,휴스틸,5630,5.83,653.75733215
047050,포스코인터내셔널,79700,5.28,1236.7718395
064350,현대로템,198600,5.19,3733.9318655
012200,계양전기,6570,5.12,508.12841875
012450,한화에어로스페이스,1399000,4.95,5785.109015
024740,한일단조,2960,4.78,510.4546488
010170,대한광통신,9850,4.68,10776.27739455
010060,OCI홀딩스,202000,4.39,862.49184
161000,애경케미칼,14940,2.96,517.1370766
475150,SK이터닉스,54900,1.67,1247.3915505
050890,쏠리드,14810,1.65,2537.89191495
006400,삼성SDI,439000,1.62,7655.656785
319400,현대무벡스,26050,1.17,1174.31033525
011930,신성이엔지,2760,0.91,792.87405578
112610,씨에스윈드,64200,0.78,578.517736
017900,광전자,3335,0.45,622.23125693
207940,삼성바이오로직스,1574000,0.13,1136.71322
