종목코드,종목명,현재가,등락률,거래대금_억
066570,LG전자,293000,29.93,25482.3898525
064400,LG씨엔에스,113800,29.91,9232.7445385
009155,삼성전기우,765000,29.88,1217.056955
011070,LG이노텍,1458000,28.57,18820.416905
003550,LG,146600,26.6,8457.020346
307950,현대오토에버,931000,24.8,8743.22118
181710,NHN,50900,22.5,518.72776675
066575,LG전자우,95700,21.91,2280.0679435
090360,로보스타,94000,20.98,1604.1958385
018260,삼성에스디에스,299000,20.32,11567.7432625
000150,두산,1972000,18.8,4398.049565
242040,나무기술,8780,17.22,1412.76112605
353200,대덕전자,190900,15.84,4367.3244245
009150,삼성전기,2127000,15.04,61839.00470459
035420,NAVER,234000,14.15,17681.1495775
012330,현대모비스,768000,11.95,14823.343735
034220,LG디스플레이,16090,11.58,9596.82377555
108490,로보티즈,325500,11.28,1239.9234
486990,노타,38500,11.27,1884.03881175
018880,한온시스템,5630,10.39,4749.6236733
241520,DSC인베스트먼트,14100,9.39,1717.8126152
032830,삼성생명,388500,8.67,2994.9881725
028260,삼성물산,432500,8.26,4500.969025
456010,아이씨티케이,33650,7.34,856.50808075
032640,LG유플러스,16130,7.03,680.570128
005380,현대차,723000,6.79,22299.85539046
051910,LG화학,367000,6.53,3360.274645
356680,엑스게이트,25000,6.16,581.021883
319400,현대무벡스,39750,6.14,1586.207251
005935,삼성전자우,202500,6.08,19145.983079
454910,두산로보틱스,106500,6.08,1349.0179595
161390,한국타이어앤테크놀로지,66800,6.03,990.6807255
006360,GS건설,30500,5.9,570.961563
005930,삼성전자,317000,5.84,116996.39541368
477850,마키나락스,37900,5.28,956.06968425
323410,카카오뱅크,22400,4.67,853.61011775
035720,카카오,41950,4.61,3144.2933295
028050,삼성E&A,52900,4.13,1229.95881825
086280,현대글로비스,242500,4.08,2220.149135
000720,현대건설,147000,3.96,1978.8144245
017670,SK텔레콤,100600,3.82,1963.3457365
373220,LG에너지솔루션,458000,3.62,5840.5420125
005385,현대차우,274000,3.4,1386.66961
005387,현대차2우B,272000,3.23,1818.9254775
003670,포스코퓨처엠,245500,3.15,1534.46048
000270,기아,169200,2.98,4305.4479375
047040,대우건설,26200,2.95,4051.22059075
0126Z0,삼성에피스홀딩스,484000,2.87,1055.9881175
009830,한화솔루션,41850,2.83,831.210857
131970,두산테스나,157300,2.21,810.589658
009540,HD한국조선해양,423000,1.93,1837.310165
000660,SK하이닉스,2333000,1.92,198649.32227914
096770,SK이노베이션,119200,1.88,1130.61074
034730,SK,676000,1.81,2815.23253
006400,삼성SDI,688000,1.78,13997.623615
000100,유한양행,85000,1.67,741.609241
222800,심텍,118100,1.64,1019.3981095
000810,삼성화재,569000,1.61,1307.01219
011790,SKC,139300,1.53,953.4047355
068270,셀트리온,192900,1.53,2182.4249255
180640,한진칼,110100,1.47,2894.316772
005830,DB손해보험,143100,1.42,1210.3694805
007660,이수페타시스,129200,1.33,1565.819577
128940,한미약품,491000,1.13,726.9945575
298040,효성중공업,3685000,0.88,3124.4639
055550,신한지주,93600,0.86,2598.169407
005490,POSCO홀딩스,423500,0.83,3243.92505
259960,크래프톤,257500,0.78,1010.2331775
267250,HD현대,277500,0.73,989.0466425
204320,HL만도,62100,0.65,553.959127
440110,파두,112100,0.63,2385.212408
105560,KB금융,150600,0.6,3024.9423435
028300,HLB,50800,0.59,798.28563675
267260,HD현대일렉트릭,1053000,0.57,2877.89136
033780,KT&G,184700,0.54,1165.6763305
457370,한켐,11970,0.5,1059.3722964
010950,S-Oil,107400,0.37,967.134342
000250,삼천당제약,339000,0.3,926.9772475
277810,레인보우로보틱스,702000,0.29,1159.40049
047810,한국항공우주,168300,0.24,1767.672514
058610,에스피지,116600,0.17,628.0535435
