종목코드,종목명,현재가,등락률,거래대금_억
387690,레메디,29550,42.75,4689.9301305
003680,한성기업,10990,29.91,559.8106591
037070,파세코,8380,19.89,594.4641254
475150,SK이터닉스,51300,19.72,2086.8510055
024060,흥구석유,12020,10.89,592.74784945
096770,SK이노베이션,113700,10.5,842.1107605
095610,테스,196000,10.3,822.859873
010950,S-Oil,144500,9.39,625.916091
069540,빛과전자,2535,9.03,752.67018491
006400,삼성SDI,468000,7.83,1842.306775
240810,원익IPS,133800,7.04,1986.02608
066570,LG전자,194100,6.41,2687.406281
353200,대덕전자,127100,5.13,724.300894
086790,하나금융지주,135000,5.06,650.1915995
319660,피에스케이,196300,3.64,841.7381575
012330,현대모비스,505000,3.48,576.521225
105560,KB금융,189100,2.55,1465.6537925
196170,알테오젠,330500,2.01,626.948875
005380,현대차,465000,1.64,1547.812825
055550,신한지주,110800,1.47,566.731058
042660,한화오션,81900,0.74,637.724967
087010,펩트론,112400,0.72,764.8555695
403870,HPSP,44700,0.68,901.21831975
012450,한화에어로스페이스,973000,0.62,835.84615
036930,주성엔지니어링,192900,0.52,2787.6779885
