종목코드,종목명,현재가,등락률,거래대금_억
0161M0,네오사피엔스,36100,261.0,11959.16194925
386380,스카이랩스,25250,29.89,2049.49760785
425040,티이엠씨,12790,24.66,979.69779245
232140,와이씨,14410,20.99,1499.40415415
462860,더즌,3160,20.61,556.61197209
067310,하나마이크론,44900,16.17,2746.46387275
950260,인제니아테라퓨틱스(Reg.S),21350,15.59,1391.7237302
036540,SFA반도체,10420,15.52,2861.6546382
0155E0,해치텍,13430,14.4,677.68773485
003160,디아이,35400,12.74,653.2165875
041190,우리기술투자,6040,11.23,694.68172415
437730,삼현,55500,10.78,1804.52355275
131970,두산테스나,95100,10.45,713.0743925
319660,피에스케이,136800,7.8,538.0211355
204270,제이앤티씨,25200,7.01,702.290523
240810,원익IPS,129700,6.75,1857.5175625
005935,삼성전자우,208500,6.32,8587.5933255
007660,이수페타시스,109800,5.88,1336.4200395
034730,SK,575000,5.5,555.244105
005930,삼성전자,274000,4.98,59625.71725558
125490,한라캐스트,12620,4.73,583.48749515
017900,광전자,11000,4.56,2165.82935885
028260,삼성물산,367000,4.56,1128.674865
402340,SK스퀘어,1128000,4.54,5922.51959
222800,심텍,130700,3.98,508.309209
000990,DB하이텍,131000,3.89,861.85422882
030530,원익홀딩스,26900,3.26,755.3849635
032830,삼성생명,292000,3.0,1426.1730675
009150,삼성전기,1428000,2.88,8259.931425
010950,S-Oil,153600,2.74,512.616722
096770,SK이노베이션,140000,2.49,789.733918
080220,제주반도체,75200,2.45,630.3352055
055550,신한지주,112700,2.36,1135.901451
066570,LG전자,202500,2.07,979.121205
403870,HPSP,54900,1.86,719.7243265
086790,하나금융지주,135300,1.65,569.665561
105560,KB금융,177400,1.43,1191.2432575
356680,엑스게이트,17800,1.31,780.8008693
001820,삼화콘덴서,146400,1.24,1735.851104
000660,SK하이닉스,1877000,1.08,50335.95152199
034020,두산에너빌리티,85800,1.06,1407.9790975
043260,성호전자,27000,0.75,1422.06929425
042700,한미반도체,237000,0.42,782.10568
028050,삼성E&A,52000,0.39,800.5730555
218410,RFHIC,60300,0.33,672.6187155
036930,주성엔지니어링,206000,0.24,1265.28492
035420,NAVER,198000,0.15,1189.277378
