종목코드,종목명,현재가,등락률,거래대금_억
052690,한전기술,111300,23.26,1147.609342
003350,한국화장품제조,14080,20.14,931.5848059
000880,한화,120700,19.98,1541.197701
388050,지투파워,10020,16.38,725.13441525
041190,우리기술투자,6735,14.74,2562.62445385
000720,현대건설,120400,14.02,2060.0715385
001820,삼화콘덴서,104700,13.31,711.3917055
047040,대우건설,17510,11.1,1132.62040715
403870,HPSP,48025,9.27,1445.04460325
034020,두산에너빌리티,79700,9.18,3112.65715
222800,심텍,113900,8.27,637.4577445
278470,에이피알,439000,7.2,1879.655575
078930,GS,122500,6.89,567.058783
950260,인제니아테라퓨틱스(Reg.S),15990,5.54,724.1577096
036930,주성엔지니어링,175000,5.42,1305.7686555
124500,아이티센글로벌,39900,5.28,701.35058475
161890,한국콜마,150700,5.16,566.723833
010130,고려아연,1411000,4.99,797.23416
257720,실리콘투,51800,4.75,634.3079595
007660,이수페타시스,105000,4.37,507.41353
080220,제주반도체,75950,4.33,586.108715
0220W0,한화머시너리앤서비스홀딩스,10400,4.0,1403.23256925
011070,LG이노텍,591000,3.68,647.652745
475150,SK이터닉스,55100,3.57,696.85643175
006360,GS건설,35100,3.54,556.07068725
055550,신한지주,106900,3.48,644.428876
015760,한국전력,32350,2.7,649.3562885
090430,아모레퍼시픽,143600,2.64,506.684656
042700,한미반도체,214500,2.63,734.649454
003230,삼양식품,1436000,2.28,592.65339
000270,기아,134200,2.05,531.3294675
005935,삼성전자우,193100,2.01,10915.7487415
009150,삼성전기,1339000,1.59,5453.438015
329180,HD현대중공업,462500,1.54,848.2480075
105560,KB금융,165500,1.47,857.804596
207940,삼성바이오로직스,1591000,1.14,500.00835
035720,카카오,36150,0.98,510.451642
005380,현대차,417250,0.79,1929.326355
006400,삼성SDI,518000,0.58,1611.462275
000150,두산,1091000,0.55,663.580455
002990,금호건설,14920,0.4,672.92085255
010120,LS ELECTRIC,193000,0.36,640.8501395
