종목코드,종목명,현재가,등락률,거래대금_억
460930,현대힘스,15840,21.66,897.25597405
002140,고려산업,2460,18.84,595.91489861
322000,HD현대에너지솔루션,203000,18.37,3904.778569
100090,SK오션플랜트,19160,11.01,3447.62041115
207940,삼성바이오로직스,1528000,10.8,2418.460885
010060,OCI홀딩스,271000,9.72,2657.9929975
475150,SK이터닉스,85600,6.2,14609.814139
078930,GS,99000,5.77,697.8596095
477850,마키나락스,24350,3.84,653.71774725
119850,지엔씨에너지,47250,3.73,1266.48762675
079550,LIG디펜스앤에어로스페이스,763000,3.67,1486.280075
068270,셀트리온,177700,3.19,1086.5611035
028300,HLB,30900,3.0,615.809599
009830,한화솔루션,30900,3.0,1353.35419975
010950,S-Oil,154200,2.94,672.093151
012450,한화에어로스페이스,986000,2.92,1884.583355
024060,흥구석유,14250,2.74,941.58544675
011200,HMM,21500,2.38,522.107259
017670,SK텔레콤,101800,2.31,2416.602041
004310,현대약품,6440,2.22,582.95288035
028050,삼성E&A,47550,1.93,2042.3029445
086790,하나금융지주,132500,1.53,1156.143746
