종목코드,종목명,현재가,등락률,거래대금_억
394420,리센스메디컬,18450,67.73,6601.5410938
018470,조일알미늄,1609,29.97,1172.7818158
008350,남선알미늄,1800,29.96,1550.92620562
006110,삼아알미늄,40200,29.89,1454.61102475
003280,흥아해운,3980,29.85,8726.44145933
114190,강원에너지,15610,26.29,551.7696189
001780,알루코,2655,23.78,1425.11645394
101670,하이드로리튬,2355,15.72,708.00549365
028050,삼성E&A,35700,7.37,2034.01237025
187660,페니트리움바이오,11050,6.25,870.040465
005880,대한해운,2395,5.97,1917.89537246
282720,금양그린파워,18000,5.88,1636.989404
044490,태웅,49650,5.86,812.11174225
054920,한컴위드,4995,4.83,955.74005163
278470,에이피알,337000,3.37,1516.81537
322000,HD현대에너지솔루션,139100,2.96,3760.7219795
003230,삼양식품,1200000,2.21,1191.34957
263750,펄어비스,69000,2.07,2028.2538595
259960,크래프톤,255000,1.8,578.734445
425040,티이엠씨,13200,1.77,2603.2390799
042660,한화오션,120200,1.69,2004.9682335
009830,한화솔루션,37150,1.5,2677.13047375
033780,KT&G,159200,1.34,732.956922
178320,서진시스템,42500,1.19,541.8909455
