종목코드,종목명,현재가,등락률,거래대금_억
038500,삼표시멘트,10920,30.0,2781.32752945
038460,바이오스마트,5680,29.98,522.8553533
004560,현대비앤지스틸,17520,29.97,1019.3673962
380550,뉴로핏,36700,29.91,3567.3447175
0007C0,아크릴,47600,22.68,1063.45073925
126640,화신정공,1638,21.69,644.5810152
088130,동아엘텍,6250,20.66,733.85709965
006220,제주은행,17050,20.32,2753.1149919
003310,대주산업,5400,17.39,1385.91048281
012210,삼미금속,16150,16.61,2590.7228123
128820,대성산업,8350,13.61,1194.7836953
232680,라온로보틱스,22200,12.86,1145.5913986
464490,쿼드메디슨,15000,11.28,717.4653842
474170,루미르,17560,11.14,1889.0161659
084670,동양고속,54900,11.13,1352.32174525
0001A0,덕양에너젠,38500,10.47,11630.29882475
272290,이녹스첨단소재,35500,8.56,959.407498
368770,파이버프로,18000,7.08,784.26134115
161000,애경케미칼,9990,6.73,527.0350124
081180,쎄크,17910,6.16,808.80327215
252990,샘씨엔에스,10080,6.11,508.7616506
319400,현대무벡스,33400,5.7,3162.1617835
397030,에이프릴바이오,61000,4.63,647.4487845
086790,하나금융지주,103300,3.2,1497.1898955
000650,천일고속,297500,2.76,1215.271555
950250,테라뷰,9090,2.02,567.57641225
086280,현대글로비스,246000,1.65,1444.636065
278470,에이피알,274000,1.48,1959.799655
009150,삼성전기,283000,1.43,4277.803545
138040,메리츠금융지주,117400,0.69,767.798619
049630,재영솔루텍,4725,0.64,885.89065537
033780,KT&G,154700,0.52,900.636876
298380,에이비엘바이오,198300,0.3,3100.5445745
0004V0,엔비알모션,20750,0.24,1088.7931785
377300,카카오페이,63500,0.16,966.300466
