종목코드,종목명,현재가,등락률,거래대금_억
322000,HD현대에너지솔루션,104000,30.0,5214.417201
027360,아주IB투자,5810,29.98,1461.91274231
178320,서진시스템,48325,23.59,3429.20770675
229000,젠큐릭스,5500,21.95,918.07167315
004020,현대제철,46600,20.1,5126.5563015
0009K0,에임드바이오,61000,17.53,2233.749369
042700,한미반도체,323250,17.33,19481.96299
389470,인벤티지랩,96500,16.55,619.5601415
0004V0,엔비알모션,22350,15.5,687.06132555
011930,신성이엔지,2430,13.82,1198.72518823
072470,우리산업홀딩스,4645,13.29,516.06456384
038500,삼표시멘트,17280,13.16,7805.2656816
226950,올릭스,179100,12.36,1310.486586
011210,현대위아,103200,11.93,1425.898918
005380,현대차,680000,11.66,23236.391205
004560,현대비앤지스틸,22400,11.44,1297.6103723
323280,태성,77900,10.5,544.936671
000250,삼천당제약,833500,10.11,3893.75583
440110,파두,62200,9.89,676.8224085
222080,씨아이에스,15140,9.63,1460.58581355
457190,이수스페셜티케미컬,116900,9.46,1255.363714
012200,계양전기,8940,8.36,1726.41220025
047770,코데즈컴바인,5400,8.22,915.14089375
376900,로킷헬스케어,67500,7.83,611.1256435
083650,비에이치아이,93700,7.7,609.7093725
007660,이수페타시스,127500,7.59,2921.144183
051910,LG화학,418750,7.37,3833.1518425
006340,대원전선,6870,7.18,3264.1150467
101490,에스앤에스텍,99400,6.31,581.713693
456160,지투지바이오,109100,5.82,1004.3678475
064350,현대로템,232500,5.68,3564.5689125
005385,현대차우,327000,5.31,1242.981455
047810,한국항공우주,193600,5.27,2475.578142
122870,와이지엔터테인먼트,74900,5.05,696.401655
006400,삼성SDI,470000,4.68,4588.368105
010170,대한광통신,4280,4.52,510.68781597
347850,디앤디파마텍,92800,4.5,708.297977
003310,대주산업,4120,4.44,688.08272136
100790,미래에셋벤처투자,22250,4.22,1669.2278485
439260,대한조선,99400,4.19,557.7152405
005387,현대차2우B,327500,4.13,1510.59588
403870,HPSP,45050,4.04,1917.6135045
000150,두산,1263000,3.95,2079.12192
052690,한전기술,176400,3.7,1323.4374255
491000,리브스메드,90000,3.57,875.522795
032820,우리기술,17160,3.5,1916.9929494
034020,두산에너빌리티,107100,3.18,7826.4025605
009830,한화솔루션,52700,3.13,2610.6129015
001440,대한전선,36400,2.97,2887.6369995
234340,헥토파이낸셜,27800,2.96,700.800234
141080,리가켐바이오,192600,2.83,603.9597215
450080,에코프로머티,72100,2.71,1091.9070825
307950,현대오토에버,518000,2.57,2947.7554325
319400,현대무벡스,34950,2.49,856.92404775
272210,한화시스템,113300,2.44,2691.6132895
018260,삼성에스디에스,195800,2.35,652.326026
298380,에이비엘바이오,195600,2.35,986.182527
001290,상상인증권,1593,2.25,615.79588649
950160,코오롱티슈진,107300,2.19,593.8755335
000720,현대건설,165500,2.16,3824.464636
348340,뉴로메카,81900,1.99,661.6639395
000270,기아,210000,1.94,4176.154498
329180,HD현대중공업,603000,1.86,1478.875645
035720,카카오,62500,1.79,3962.099604
005490,POSCO홀딩스,414500,1.72,2643.3185575
012450,한화에어로스페이스,1214000,1.68,2869.92693
347700,스피어,42950,1.54,630.83407625
003490,대한항공,28500,1.42,699.6046085
079550,LIG넥스원,510000,1.39,912.05723
080220,제주반도체,51400,1.38,4931.12262875
196170,알테오젠,408500,1.36,1181.2651775
240810,원익IPS,128200,1.34,1212.20065
036930,주성엔지니어링,56800,1.25,655.281805
010140,삼성중공업,29050,1.22,1161.652412
005930,삼성전자,220500,1.15,70124.10530374
012860,모베이스전자,5070,1.0,1229.51017329
011790,SKC,113500,0.98,1518.0572975
003550,LG,104400,0.97,524.1837945
064400,LG씨엔에스,75000,0.94,1402.602595
247540,에코프로비엠,221500,0.91,1179.3806975
086520,에코프로,185800,0.87,4284.2740695
187660,현대ADM,18800,0.7,5407.9084658
089030,테크윙,47100,0.64,618.23036825
039490,키움증권,474500,0.64,592.9866775
058470,리노공업,107300,0.47,1248.352572
042660,한화오션,140600,0.43,1691.7719775
207940,삼성바이오로직스,1773000,0.4,850.486565
204320,HL만도,63300,0.32,613.13156
006910,보성파워텍,11300,0.27,659.47817885
047040,대우건설,10070,0.2,1518.13037805
006800,미래에셋증권,73700,0.14,3698.0451045
489790,한화비전,86100,0.12,2224.268592
