종목코드,종목명,현재가,등락률,거래대금_억
100790,미래에셋벤처투자,22100,30.0,3290.02146825
079900,전진건설로봇,65500,29.96,659.1420995
038500,삼표시멘트,14190,29.95,1639.3463612
272210,한화시스템,119500,28.63,15691.068134
253590,네오셈,18770,27.08,2031.89340995
267270,HD건설기계,135900,26.65,3088.2948655
006800,미래에셋증권,49950,24.72,9116.38977175
255220,SG,3240,22.26,775.80045594
041920,메디아나,25600,21.9,508.05842925
417010,나노팀,11950,18.08,843.6650548
464490,쿼드메디슨,17700,18.0,1478.63644105
008830,대동기어,20800,17.38,907.5078524
010120,LS ELECTRIC,612000,16.35,2638.46604
365330,에스와이스틸텍,4100,16.15,804.23816182
001440,대한전선,30800,15.57,4685.780699
092870,엑시콘,28350,15.48,554.2895195
474170,루미르,20250,15.32,1661.2772735
001430,세아베스틸지주,81500,14.95,567.4018045
027360,아주IB투자,5110,14.19,2306.73494252
000250,삼천당제약,529000,14.01,2024.30829
099320,쎄트렉아이,213000,13.36,847.5450955
006805,미래에셋증권우,22000,13.11,623.65766175
003530,한화투자증권,6820,12.73,1231.7684511
240810,원익IPS,114700,12.67,1042.20804
456160,지투지바이오,83700,12.65,886.8892615
241560,두산밥캣,64900,12.48,552.804508
489790,한화비전,63900,12.3,1457.403783
478340,나라스페이스테크놀로지,61700,11.78,2082.0422355
039030,이오테크닉스,396000,11.71,541.018715
005930,삼성전자,167500,11.37,59271.87709457
016360,삼성증권,93000,11.11,752.7152115
012210,삼미금속,17900,10.84,3064.25028045
000720,현대건설,108600,9.92,1592.159644
036930,주성엔지니어링,44900,9.91,632.43678975
189300,인텔리안테크,107100,9.85,565.4334405
403870,HPSP,46800,9.73,1012.14262225
001510,SK증권,954,9.66,1228.31265007
000990,DB하이텍,112900,9.61,606.962928
006260,LS,215500,9.56,616.91212
005935,삼성전자우,120600,9.54,4154.23308992
071050,한국금융지주,218500,9.36,636.97276
000660,SK하이닉스,907000,9.28,47090.02033767
039490,키움증권,455000,9.11,851.0048275
062040,산일전기,148200,8.81,642.345406
009150,삼성전기,307500,8.66,4107.766725
003380,하림지주,15090,8.48,901.8409248
000880,한화,117500,8.39,1048.708336
028260,삼성물산,315000,8.25,1086.995705
034730,SK,324000,8.18,803.56755
456010,아이씨티케이,18180,8.15,610.1698727
402340,SK스퀘어,546000,8.12,7401.06474784
000150,두산,899000,8.05,1259.753265
234340,헥토파이낸셜,24350,7.98,1363.0699725
0015G0,그린광학,38150,7.77,558.49255925
128940,한미약품,503000,7.71,606.84188
272290,이녹스첨단소재,38200,7.61,762.96403125
0004V0,엔비알모션,22250,7.23,513.18719
007660,이수페타시스,118400,7.05,1378.5015135
038460,바이오스마트,6080,7.04,1897.3633398
491000,리브스메드,74600,7.03,604.2446805
047050,포스코인터내셔널,65200,6.71,669.9785715
086790,하나금융지주,110200,6.68,1144.48910164
055550,신한지주,88000,6.67,1287.4800235
348340,뉴로메카,88200,6.65,1263.248974
353200,대덕전자,64700,6.59,778.198795
042700,한미반도체,199300,6.52,3591.293794
214450,파마리서치,450000,6.51,966.38188
017670,SK텔레콤,73600,6.51,1162.0160885
267260,HD현대일렉트릭,889000,6.34,1547.04242
